ID,t
PEX26,-7.933893199225137
ZBTB7B,-7.57188442804012
TEAD4,7.314947780785461
CLDN23,-7.28839607442432
GNA11,-7.197565051558404
CNNM2,-7.154141732651471
TP53INP2,-6.979813001578344
ZZEF1,-6.955649873637863
ACADS,-6.925558471017922
UBFD1,6.915071086491267
CCNYL1,-6.8979888313825874
PNO1,6.87054274439186
APPL2,-6.850902642661547
FUCA1,-6.8494496737725905
GLTP,-6.844775629407177
PRDX6,-6.838601327044239
DHRS11,-6.829130641246914
CALU,6.818112284786256
PPIL1,6.788152863672137
HIGD1A,-6.747559416897494
TESK2,-6.736007305813226
SPECC1L,-6.7334310796061585
PLCD1,-6.707208250560085
HPS1,-6.688699877338125
SLC36A1,-6.680575174964213
CFD,-6.648083422438558
AGXT2L2,-6.648018845304181
MXI1,-6.636993382176421
PDE8A,-6.576379328699023
CLEC3B,-6.563257764677186
TNFRSF12A,6.554412467985003
SPPL2A,-6.546830627326233
NUDCD1,6.536095772911551
LOC541471,6.522125442126915
SLC22A5,-6.519642720265154
SMPDL3A,-6.5180353574261956
GRAMD3,-6.500619564603768
ANK3,-6.500523095905055
POLR1A,6.483273319209088
CA2,-6.464258722562061
BYSL,6.448460664469381
SLC25A23,-6.445815083799828
RILP,-6.442174737437028
COL4A1,6.391928246470661
TMEM37,-6.389220830230851
ABHD3,-6.379729836826858
KLF4,-6.377354897864375
"NAAA",-6.373869230520501
CIRH1A,6.353453600195563
MIER3,-6.35275475217736
PRPF4,6.341687681315382
RIOK3,-6.301020331645554
MRPL17,6.275638173074095
SLC26A2,-6.269115608757711
OGFOD1,6.255913777139153
GART,6.245695047696547
TBC1D16,6.2380015357001755
ACO2,-6.211826439827788
ASUN,6.207532154142702
UGGT2,6.204797329716938
UGP2,-6.1987609884211965
CDK2,6.193084107937276
ETHE1,-6.191737377430502
SSB,6.174721567505218
RPAP3,6.169876541871899
PTGER4,-6.160268897012064
CAD,6.154188989819882
HILPDA,6.152699658261633
MYO15B,-6.144020697062724
ANPEP,-6.142268894009998
NBPF10,-6.122657746401259
PAG1,-6.122197459063302
RHOU,-6.095404050322293
BBIP1,-6.085213021130093
TEX10,6.081314304204459
VAMP2,-6.071070676743671
HADHA,-6.066960656888024
ZDHHC7,-6.066475090539758
CSE1L,6.06190157737111
PACSIN2,-6.061069229237968
RIPK2,6.060881623340549
PTK2B,-6.056943617705712
SDHA,-6.056472551347292
ATP11A,6.052913065131295
TPRG1L,-6.043232193672655
TST,-6.043160552103797
ACSF2,-6.04174894525409
S100A11,6.039789134549396
SLC26A3,-6.039615132825138
HPGD,-6.038137847590788
ATG4D,-6.034553772315278
GBA2,-6.0016828492213214
PALB2,6.00062395355232
METTL1,5.991062070157529
GNA13,-5.9910486525948565
NUFIP1,5.989563385704679
IFRD2,5.986818996431075
POLR2D,5.9865592922023145
PUS7,5.9766169382091405
MIER1,-5.972504008581464
RELL1,-5.969120920104892
SRSF5,-5.9646891999015494
ZER1,-5.963275253594945
NBPF1,-5.9579340654272235
CHP1,-5.9563179318389965
MFSD11,-5.947533872295429
E2F3,5.943734935514774
PDCD4,-5.936083964780065
C2CD2L,-5.933077559364933
PRMT3,5.927158774901201
IARS,5.924374497497873
MALL,-5.922399534822286
RBM28,5.905361577638998
LOXL2,5.904855756232464
SULF1,5.902254850398924
ATG16L2,-5.901623673720967
PEX11A,-5.901035054374679
GARS,5.893184518667466
ATP5A1,-5.892471427615821
MTM1,-5.88943749242907
TMEM127,-5.8876223001066235
MPND,-5.885132565049009
CYBASC3,-5.881969758479645
GTF2IRD1,5.873788612750394
RPP40,5.86649183220666
FAM46C,-5.857174132606968
EGLN1,-5.849635027885641
STIM1,-5.849472399998257
WDR77,5.849044056348332
SECTM1,-5.84390890167141
RRP12,5.825784090484021
NBPF14,-5.819653027405887
PLCD3,-5.816601951327728
CASP7,-5.813704192040325
SDHAP1,-5.8122621256309746
SDHAP2,-5.809333733562731
KCTD9,-5.8080062470439175
UQCRC1,-5.8004261509127355
