ID,P.Value
PAG1,9.99301439707523e-8
RHOU,1.1045955687048738e-7
BBIP1,1.1474766585823982e-7
TEX10,1.1643152047853993e-7
VAMP2,1.209736094025332e-7
HADHA,1.2284510330091313e-7
ZDHHC7,1.2306809615030584e-7
CSE1L,1.2518827454874718e-7
PACSIN2,1.2557801586936586e-7
RIPK2,1.256660273260245e-7
PTK2B,1.275276659488137e-7
SDHA,1.2775218226290268e-7
ATP11A,1.2946141692680246e-7
TPRG1L,1.342258221793884e-7
TST,1.342617215240139e-7
ACSF2,1.3497102078333908e-7
S100A11,1.3596195262204754e-7
SLC26A3,1.3605028086029255e-7
HPGD,1.3680249210383427e-7
ATG4D,1.3864465590326212e-7
GBA2,1.5673102935293208e-7
PALB2,1.573510489396277e-7
METTL1,1.6306127252064163e-7
GNA13,1.6306942809532144e-7
NUFIP1,1.6397472293361574e-7
IFRD2,1.6566061809101624e-7
POLR2D,1.6582104429152835e-7
PUS7,1.7208003482994062e-7
MIER1,1.7473729087923082e-7
RELL1,1.7695350986510982e-7
SRSF5,1.7989893012963593e-7
ZER1,1.8084886924226692e-7
NBPF1,1.844824000815313e-7
CHP1,1.8559604076528996e-7
MFSD11,1.9176662216831808e-7
E2F3,1.9449793570965919e-7
PDCD4,2.0011642839577226e-7
C2CD2L,2.0236799273187506e-7
PRMT3,2.0687440632871024e-7
IARS,2.0902857890426955e-7
MALL,2.105700675461815e-7
RBM28,2.2434544843734992e-7
LOXL2,2.2476779147774302e-7
SULF1,2.2695194106043983e-7
ATG16L2,2.2748514751978405e-7
PEX11A,2.2798352194971417e-7
GARS,2.3473490279951192e-7
ATP5A1,2.3535789001683301e-07
MTM1,2.3802684919501382e-7
TMEM127,2.3963800699601695e-7
MPND,2.418654911649739e-7
CYBASC3,2.447247830682732e-7
GTF2IRD1,2.5227727567064225e-7
RPP40,2.592081018348177e-7
FAM46C,2.683335951505982e-7
EGLN1,2.759497400505255e-7
STIM1,2.761163695127051e-7
WDR77,2.765557304081216e-7
SECTM1,2.8187723659080586e-7
RRP12,3.0148412093707947e-7
NBPF14,3.0841786090539164e-7
PLCD3,3.1192705118745507e-7
CASP7,3.152965354679879e-7
SDHAP1,3.169867735814719e-7
SDHAP2,3.204468092542659e-7
KCTD9,3.2202760317305674e-7
UQCRC1,3.312032982172702e-7
CPT2,3.324999299569689e-7
MET,3.3677127165431614e-7
P2RX4,3.400599040088697e-7
GLTPD1,3.5161911452685225e-7
SLC22A23,3.5529087890623124e-7
HAUS6,3.5950597754057197e-7
RASAL2,3.6079502039330396e-7
MUL1,3.7193561253974914e-7
DNAJC10,3.7455117536465685e-7
CDK4,3.749747655772866e-7
TTC7A,3.78260655142927e-7
MKI67IP,3.8769986622159166e-7
MPI,3.8939276240050506e-7
SOCS6,3.945799803631969e-7
MICAL3,3.967952454917951e-7
VAPA,3.971027960661237e-7
MRPL50,3.9988370926043173e-7
BGN,4.055357693507257e-7
XPO5,4.06723516130081e-7
COL1A1,4.1645479394216875e-7
PHF16,4.226516906095772e-7
SLC9A3R1,4.2427170999401755e-7
EIF5B,4.253111347137483e-7
INPP5K,4.3678511291827973e-7
ANKRD13A,4.409843102250875e-7
WDR43,4.413403948680019e-7
MSANTD3,4.669400874847632e-7
MXD1,4.6975701681302025e-7
ZFAND2B,4.829472039683041e-7
PAK1IP1,4.919952284969624e-7
HADH,4.946406897875575e-7
TMEM206,4.97194817793768e-7
ENDOD1,5.048808645368816e-7
SLC39A10,5.098532870945174e-7
DPY19L1,5.354779556688182e-7
TBC1D10A,5.3607065627409775e-07
EIF4E3,5.422234610438282e-7
COL5A2,5.438661930183772e-7
CEACAM7,5.452880472704794e-7
PSPH,5.460983801236201e-7
CPSF3,5.497771144316542e-7
CITED2,5.529669957532696e-7
JOSD1,5.648634942547888e-7
FKBP14,5.651871927637778e-7
FAM82A1,5.655131580671733e-7
RNF10,5.925884262548804e-7
WDR75,5.927549773764685e-7
KIAA1737,5.952235306951622e-7
DNAJC2,6.273073157736527e-7
IFITM3,6.295586963587486e-7
RCN1,6.347541860501635e-7
DONSON,6.458969962479161e-7
PDCD2L,6.727486708842697e-7
NFE2L3,6.739035749851074e-7
NBPF16,6.854844323127055e-7
GTPBP4,6.931925085816313e-7
TMEM41A,7.038399958100697e-7
AHCYL2,7.147024851481563e-7
TMEM120A,7.269259230993421e-7
SDCBP2,7.581035419504202e-7
TDP2,7.683830235051371e-7
KIAA1671,7.692113666776515e-7
"NAA25",7.764728854816177e-7
POLB,7.82424144170065e-7
PYCRL,7.8723129018014e-7
EEF1E1,8.035188813232042e-7
NUP43,8.187600910108037e-7
OAF,8.212555622876972e-7
LTBP4,8.234224129688947e-7
SULT1A1,8.625027267925035e-7
NOC3L,8.638186834884153e-7
MINK1,8.71564852252733e-7
STRAP,8.762915721295498e-7
FABP1,8.814327508454824e-7
CCT6A,8.834699732816644e-7
"NAT10",8.953832010392354e-7
TMEM131,9.244212796883535e-7
TWISTNB,9.466463350876574e-7
ABL2,9.56556590722958e-7
IL10RB,9.639194705365324e-7
NOP58,9.725630150021468e-7
VARS,9.741903977470396e-7
TTYH3,9.882319964835753e-7
PINK1,9.88461701165568e-7
CNNM4,9.92326180235089e-7
PFDN6,1.0094486511558784e-6
DARS,1.0149773914850418e-6
GPS2,1.0323460076440163e-6
SQRDL,1.0334972781167074e-6
HYAL2,1.0395192457168412e-6
ACOX1,1.0503138599137685e-6
URB1,1.0657140601447664e-6
PSIMCT-1,1.0733980931444847e-6
ATR,1.0740096160529323e-6
PPA1,1.0826543150524205e-6
MAST2,1.084326274496842e-6
IGJ,1.1001274608050097e-6
NME1,1.1297443627064775e-6
ITGB7,1.16062165257121e-6
ACAA2,1.1733148552638953e-6
EIF2S2,1.181147868997145e-6
SDHB,1.185398536446116e-6
EPHB4,1.2087997830185773e-6
SLC6A6,1.2092688643394077e-6
SUV39H2,1.2127753612190645e-6
RNASE1,1.2226813455198385e-6
ACTR3B,1.2758255513882468e-6
MAGOHB,1.2768506317673229e-6
FAM89A,1.2780391689460954e-6
EXOSC2,1.281323968667301e-6
CTPS1,1.2899061558544448e-6
ACACA,1.2958433453022946e-6
TMEM132A,1.3189650665802907e-6
CERK,1.3449453814146665e-6
DCAF13,1.355022078678193e-6
SPARC,1.367333194049684e-6
CEACAM1,1.3751238017848203e-6
SLC25A32,1.3790069197170128e-6
PXMP2,1.3806199743746173e-6
TSPAN7,1.4134929983335492e-6
CNST,1.4220376266397987e-6
CLPB,1.423438404683991e-6
HECTD3,1.432758280887243e-6
MPPE1,1.4420370659501177e-6
YEATS2,1.4440314111511943e-6
FAM134A,1.4493959278494995e-6
SNTB1,1.451662060701741e-6
DHDDS,1.4713394179432607e-6
WDR7,1.4974465728672152e-6
SMCR7,1.518992018128805e-6
DDX31,1.526617693746101e-6
CXXC1,1.5352548337904267e-6
ATP6V0D1,1.5577897053500194e-6
ANKRD9,1.5864132128482197e-6
DYRK2,1.5950600257194072e-6
RAE1,1.6302301079296317e-6
ZAK,1.6306179514456087e-6
DIMT1,1.6353779044258756e-6
ATAD2,1.6586521448546164e-6
MED9,1.6718015677183279e-6
MED11,1.6803005550587037e-6
PODXL,1.6874775793062774e-6
WDR12,1.6894843224198844e-6
TCN2,1.6938384063026402e-6
SLC9A1,1.6956585098502227e-6
TOMM6,1.7095657014869754e-6
EXOSC8,1.7267909535820336e-6
TCOF1,1.7333368812551999e-6
RFC3,1.7413264140335726e-6
CD3EAP,1.7462803762411237e-6
NBPF24,1.7515758129168168e-6
TOM1L2,1.755473619029512e-6
UGDH,1.7621152507712943e-6
THY1,1.763281738733366e-6
TGFBI,1.777700260717378e-6
ZMYND19,1.784182022749903e-6
NUP188,1.7939895608938886e-6
PPRC1,1.8009960181011132e-6
E2F6,1.8022907204249671e-6
MGLL,1.8040257883021857e-6
CCNDBP1,1.8291305116748898e-6
MIR22HG,1.8326179096237835e-6
ARF6,1.8369108054891718e-6
CPT1A,1.8440588258906743e-6
CCT4,1.8661354737744459e-6
SPNS2,1.8679775465968468e-6
TPD52L2,1.8886280145850865e-6
ADCY9,1.890998457281003e-6
TPM4,1.909912555825996e-6
UQCRFS1,1.9139917774280756e-6
GPR108,1.976209301037047e-6
RRP9,2.0009330500620803e-6
CASD1,2.009253882020505e-6
GRPEL2,2.0096003698507935e-6
NDUFA10,2.027948338730359e-6
SLC38A7,2.0304855099198766e-6
DDX10,2.052875712254368e-6
DNAJC4,2.0624669873576448e-6
NDUFV1,2.080333476443413e-6
TP53I3,2.1005989847746396e-6
GHITM,2.1055318460184222e-6
UTP14A,2.1142903050207816e-6
EXOSC7,2.1821410935636586e-6
SDHD,2.18331196823201e-6
METTL7A,2.1937381625066214e-6
SH3PXD2B,2.1956444272352326e-6
TTLL4,2.218846891214066e-6
DKC1,2.220823173977304e-6
INTS7,2.2452652884441085e-6
MORC2,2.2466198021243854e-6
FAM160A2,2.265535799809568e-6
FBXW5,2.269361104257858e-6
SDCCAG3,2.3048282849649247e-6
CBX3,2.3178920210396505e-6
NOL6,2.3648389500881963e-6
PTPRF,2.379179512243855e-6
SLC7A5,2.418073036021154e-6
NKRF,2.43234939296741e-6
SERPINH1,2.4952709520180983e-6
TAOK3,2.5084689379088973e-6
PPM1A,2.513817571738465e-6
ARRDC4,2.527357084425842e-6
ANKS6,2.60023907341301e-6
ECI1,2.623571165169042e-6
MTERFD1,2.667788560214224e-6
TNIP1,2.689320296731196e-6
SELENBP1,2.7294798980397674e-6
GLMN,2.7469630499973176e-6
DMAP1,2.7605954578877996e-6
MORF4L2,2.790359418720647e-6
ZNF259,2.7919809666791407e-6
MCM6,2.7976522463748533e-6
ARHGEF9,2.8420610328715185e-6
TEF,2.854998794320747e-6
GRINA,2.8716671557359195e-6
ARMC10,2.9277264678643513e-6
ATP5B,2.9327319247706887e-6
PHF20,2.9574578276774147e-6
RAB4B,3.0045416122488015e-6
WDR5,3.018392594606331e-6
GEMIN5,3.083044398751806e-6
TRIB3,3.088962745606256e-6
CHCHD10,3.120894967470939e-6
FAM73B,3.125837169602915e-6
TPCN1,3.152091935385715e-6
XPOT,3.1634233632004565e-6
RIOK1,3.176387544848543e-6
NIT1,3.2070235262682837e-6
NOP2,3.240389014994265e-6
AHCY,3.250074311447232e-6
ENTPD5,3.2781195974278468e-6
TADA2B,3.280041752641536e-6
FKBP10,3.3332898164083523e-6
TH1L,3.3596531742017658e-6
LSP1,3.3709547553449625e-6
PLXNA1,3.3721420674916646e-6
SLC25A11,3.414862787984017e-6
KIF1C,3.425224269982762e-6
USP30,3.4435882218533e-6
RAVER2,3.447055324006928e-6
GAB1,3.4935216979421813e-6
PDCD5,3.502939510214382e-6
TRIP4,3.5291517660186358e-6
PSMD14,3.5430587334570007e-6
GPN3,3.598867765000686e-6
SIPA1L3,3.6042334037711734e-6
FTSJ1,3.607103111349569e-6
FAM57A,3.6623661521115893e-6
CCND1,3.858817119029619e-6
ARRB1,3.8756616351435415e-6
CBFB,3.8804279934159825e-6
STX12,3.93607687357375e-6
CAPN5,3.946745205121119e-6
CXCL12,3.96544706272921e-6
PPAP2A,4.011924245069518e-6
PPAT,4.063899952396122e-6
MZT1,4.215622506194622e-6
GLRX3,4.247966873049404e-6
CBX8,4.383460563048071e-6
PLAU,4.418050568705452e-6
RPF2,4.4285168703070075e-6
TTPAL,4.437777368888043e-6
IPO7,4.4542841187888e-6
YTHDF1,4.5879647552506134e-6
SMAD7,4.618997693440483e-6
DAZAP2,4.646977106500658e-6
NUP107,4.6491476189414126e-6
PAQR4,4.656109899137622e-6
CLCN2,4.664925307013715e-6
RBM47,4.6925773838346455e-6
MT1F,4.7148551349917736e-6
FAM98A,4.755702353663236e-6
ARHGAP17,4.755775469648508e-6
STBD1,4.778155379307191e-6
STIP1,4.7981136968928324e-6
SSBP1,4.807742396958805e-6
FAM83G,4.81747604849176e-6
LRRFIP2,4.822116079924625e-6
NCL,4.828110825895866e-6
PPARD,4.8424118948867916e-6
SF3B3,4.846946571928002e-6
SNRPG,4.85381703463537e-6
B3GALT4,4.9044172472745475e-6
LETM1,4.933672971060671e-6
SCAMP2,4.9736238966339775e-6
OLA1,4.983484374014147e-6
CKB,4.986465468194099e-6
BMP2,5.044915075596049e-6
RNF8,5.1343971837319686e-6
PSKH1,5.250362975799502e-6
FCGR3A,5.282180178328306e-6
"NAT1",5.33707420401627e-6
ODF2,5.478418446607185e-6
CCT3,5.5070522474964e-6
NUPL1,5.535731982716374e-6
CAB39,5.614249520092296e-6
SET,5.640786862498025e-6
MTMR3,5.712796787868282e-6
NPM1,5.814385577244108e-6
"NADK",5.8151971090424e-6
COQ9,5.8922000621906134e-6
GTF2F2,5.900988868598882e-6
ZFYVE27,5.905910990730654e-6
COX4I1,5.959560971744974e-6
PAPSS2,5.969745301889677e-6
SUCLG2,5.978104235323185e-6
CCL5,6.034080213999312e-6
PTP4A3,6.088484740386223e-6
TXNDC11,6.169185507975794e-6
ZMYM2,6.2523450452579445e-6
KIAA2013,6.286621750978365e-6
VPS4B,6.345170708883811e-6
LARGE,6.345856444495764e-6
HM13,6.403683583705107e-6
DDX56,6.575837757188755e-6
MOB3B,6.578088243250607e-6
IPO5,6.5864021900431104e-6
COL1A2,6.593708732214414e-6
KTN1,6.612187968817778e-6
SOS2,6.65409534229577e-6
EIF3B,6.678642176111638e-6
GLIPR2,6.694631703504186e-6
TMEM185B,6.703963969392938e-6
CCDC86,6.706735309244912e-6
KIF13B,6.767173918638996e-6
NDUFA6,6.796949891293671e-6
COL5A1,6.8009800495987825e-6
NEURL4,6.816043476646937e-6
IPO4,6.818701709310011e-6
ITM2C,6.820108704888424e-6
TOMM34,6.906051020942218e-6
LIPG,6.908359807324446e-6
E2F1,6.921535628986889e-6
DCLRE1B,6.945292128103659e-6
HSPH1,7.003247225118169e-6
PIBF1,7.135776447704956e-6
ZNFX1-AS1,7.15403090714752e-6
PGM1,7.227980160085717e-6
NEURL1B,7.262313075782752e-6
SPP1,7.3529882909520644e-6
ANKRD12,7.3904438654833295e-6
RNF138,7.512629816562316e-6
CALCOCO2,7.558081401898489e-6
SND1,7.56893123873694e-6
DIS3,7.614614888919069e-6
GCSHP3,7.631624403326067e-6
CALM1,7.679059580984888e-6
POMP,7.73728718626795e-6
SMPD1,7.739109853186995e-6
FAM162A,7.768162078661458e-6
ASCC2,7.775507451001886e-6
SYTL4,7.793721113340632e-6
HSP90AB1,7.851340056586753e-6
PCK1,7.900953724888846e-6
SYNE2,7.945767519928033e-6
CES2,7.963585991574154e-6
CAMK2N1,7.991463448254188e-6
RBKS,8.05767648836339e-6
GRAMD4,8.058822692654725e-6
SMARCC1,8.162537670613175e-6
PAFAH2,8.204781156785435e-6
RCSD1,8.246066429710403e-6
AFG3L2,8.260690432384918e-6
PKP4,8.27273283232807e-6
BCAR3,8.308223588928392e-6
CENPN,8.374560763804195e-6
ECT2,8.462870970725016e-6
CAPN2,8.67003275197669e-6
BOP1,8.681239734486384e-6
MT1E,8.69774058345767e-6
ANAPC7,8.808059208031259e-6
COX8A,8.808726472435944e-6
GALM,8.817178658843935e-6
EIF3M,8.884776836137364e-6
SENP1,9.007912304150856e-6
NIT2,9.061524353387054e-6
PRIM2,9.132627860175417e-6
DGAT2,9.154987451942595e-6
CSTF1,9.217956385710964e-6
IFITM1,9.253713165740519e-6
MGAT4A,9.433103864223767e-6
THAP4,9.45367252568904e-6
STK3,9.463967439188475e-6
ETFDH,9.509739725545207e-6
ETFA,9.56581635022887e-6
SLC35D1,9.57031436364134e-6
PSMA2,9.624492565300076e-6
ENOX2,9.744098946691186e-6
UBE2V1,9.758646582957147e-6
SLC2A13,9.760523687909148e-6
MBTPS2,9.912122432973701e-6
SIRT7,9.916276664101496e-6
MMP11,9.930742861777593e-6
WDR46,1.0169129752757541e-5
CHPF,1.0216269987782956e-5
CPNE2,1.02583569419793e-5
EIF2C2,1.0307108440491178e-5
TEX30,1.0477099499263072e-5
DSCR3,1.0495207734829506e-5
SSX2IP,1.0495488721958634e-5
MRPL35,1.0550009750730392e-5
FGL2,1.0625128416069932e-5
QSOX2,1.0625712983555436e-5
PSME4,1.0665579462201479e-5
COL6A3,1.0774467078227983e-5
SLC25A20,1.0775811661289287e-5
NDUFS2,1.0816627006527564e-5
BTBD3,1.087034704011485e-5
KDELR3,1.0875183140771472e-5
JAG2,1.0943121924642827e-5
ATG4A,1.0953386100531348e-5
RCBTB1,1.097199822236584e-5
FAM46A,1.0981436636910026e-5
PTPRCAP,1.0996953409367064e-5
R3HDM1,1.1048900693484558e-5
EPHX2,1.10730643504447e-5
RNASEL,1.1150937033463207e-5
BRP44L,1.1177325317571353e-5
XPO4,1.1208547310825192e-5
UQCR10,1.1314307242488301e-5
ACSS2,1.1336582560912934e-5
HERPUD1,1.1379711529660826e-5
DDX21,1.1421950659138403e-5
ACVRL1,1.1434016882442671e-5
EAF2,1.1568960170775252e-5
GPBP1L1,1.1714980508526512e-5
RUVBL1,1.1798196190007212e-5
IDH3A,1.1848827295434587e-5
KAT2B,1.1883574168644256e-5
BLOC1S1,1.1952867731620924e-5
NHSL1,1.1960972117490717e-5
FAM126B,1.203079840847885e-5
MPHOSPH10,1.2050753338576004e-5
PPP1CB,1.2162085437637023e-5
ARSA,1.2289945814552387e-5
MKNK1,1.2292018778676873e-5
GPATCH4,1.2318922880806609e-5
LOC339290,1.238516907432613e-5
ZADH2,1.2396646807535276e-5
TEP1,1.2432397598780968e-5
FAM63A,1.2518674331386275e-5
MT1G,1.267951104757766e-5
IPO11,1.2773726224442408e-5
LGALS4,1.2790741832935073e-5
TMEM59,1.2837465072360293e-5
TGDS,1.2863280891266991e-5
POLD4,1.2951491743251697e-5
DNM2,1.300233242526618e-5
MYZAP,1.3005614722337213e-5
IMPDH1,1.3047676349864028e-5
RNF219,1.3067879019884102e-5
BRIX1,1.3184321650608217e-5
TMEM161A,1.3760231995524503e-5
FBLIM1,1.385847692259152e-5
FMNL2,1.3943025503414493e-5
ARHGEF11,1.3951216260108914e-5
KIAA0020,1.4091309597159385e-5
AEN,1.40964422858615e-5
SQLE,1.4142007340045305e-5
ENC1,1.415959611229285e-5
IMPA2,1.42434281241411e-5
TGIF2,1.4271969408673768e-5
MYO1C,1.4371503624234208e-5
CTSA,1.439412791245628e-5
CTDP1,1.4417220138472634e-5
LOC100133445,1.4458286211365788e-5
MBD1,1.4472709014853205e-5
GGCT,1.449864962662497e-5
STK17B,1.4514897391920258e-5
TACO1,1.4551665720133352e-5
PDXP,1.4561585407474529e-5
COX5A,1.4612769509235492e-5
PHF14,1.4614684170068983e-5
CKAP2,1.4632438814281512e-5
KIAA0195,1.481576780838192e-5
MFSD12,1.484336926557257e-5
SESN2,1.4849347365067943e-5
TCF7L2,1.4939512777091652e-5
ZBTB9,1.50391939299346e-5
CLK3,1.514797777087863e-5
MKNK2,1.5149681841975008e-5
BOD1,1.5228321155850519e-5
HNRNPA1L2,1.5230935141603677e-5
EAPP,1.537960475462238e-5
METTL6,1.540025133047329e-5
PLEKHA7,1.5421880395829885e-5
PVR,1.5504743646786662e-5
AMPD2,1.5507244424052642e-5
PSAT1,1.551113004271671e-5
LRRC1,1.5530835608328657e-5
ARHGAP35,1.5552032686053835e-5
B2M,1.5627423481103084e-5
MGST3,1.5669117161826107e-5
TNK1,1.5679141085926596e-5
BRPF3,1.5842290324108092e-5
SLC5A6,1.584803738765146e-5
CD48,1.5977822161287807e-5
BAHD1,1.6000952541185058e-5
GMPS,1.614940322651556e-5
SNHG15,1.616646431100176e-5
LRRC20,1.6233678773440404e-5
NOLC1,1.6470755741315675e-5
ATP5G3,1.6513411914131235e-5
PDRG1,1.6872254059545927e-5
CTSD,1.7031269891471422e-5
PDLIM2,1.704070211058549e-5
VDR,1.704576875014094e-5
CYTH1,1.7233763470067564e-5
NDRG2,1.7291346646348478e-5
TNPO2,1.7463513393862882e-5
COX5B,1.7484004844662273e-5
CEBPB,1.7520116174228828e-5
NFE2L1,1.7742650875177686e-5
EVI2B,1.7821059245945407e-5
CGRRF1,1.785537607100969e-5
SLC46A3,1.7880095808363018e-5
METRNL,1.7955984152220018e-5
PDCD11,1.798079513721967e-5
CKS2,1.8029834343100695e-5
RER1,1.811683123630844e-5
SIPA1L2,1.817790040053895e-5
PFDN4,1.825395244314697e-5
IMPA1,1.825418004184353e-5
CHMP1B,1.8257416981137446e-5
RNF7,1.83314481431912e-5
RUNX1,1.839359741969832e-5
COA1,1.862458792990088e-5
SCD,1.8764470744372914e-5
FAM21C,1.9091223352558068e-5
ADCY6,1.9206256334635445e-5
TNFRSF14,1.9445825867571783e-5
GLO1,1.9815356830733553e-5
RBM26,1.985470974347355e-5
HADHB,1.9865596021535092e-5
PUS1,2.0120806908295102e-5
HMGB1,2.013067303036966e-5
MBOAT1,2.025665874644052e-5
FAM214A,2.025947597252519e-5
NDUFS3,2.0423624605865338e-5
POLD2,2.0711034583037777e-5
RHOF,2.0715156027150907e-5
SPAG7,2.0826308058510054e-5
DEPDC5,2.0872886952639124e-5
SMPD3,2.0964560544142717e-5
UTP15,2.1011823260622714e-5
CRYZL1,2.105001810504629e-5
HBA1,2.1175370786946726e-5
KPNA3,2.1186079012665768e-5
ATP8B1,2.1272001810584525e-5
PSMA7,2.1301023880227306e-5
GNL3,2.137499081413533e-5
TBC1D24,2.146703829485614e-5
TTI1,2.174946778344964e-5
PPAN,2.2088019266367377e-5
ZNF200,2.209997875333193e-5
UBAP2L,2.2233234575398448e-5
ATIC,2.2286299488613914e-5
DGCR2,2.234665465265038e-5
TMEM30B,2.242271284588952e-5
GPD1L,2.243732589897905e-5
MAPK3,2.2790514310655273e-05
FAM117A,2.2877927133425762e-5
WDR3,2.2957883407967557e-5
ECHDC2,2.303927232654818e-5
DIEXF,2.305751815659978e-5
SHISA5,2.3072699317496606e-5
CAMSAP2,2.3110232985005512e-5
ECSIT,2.3219181996589388e-5
PNPT1,2.3264114964966013e-5
POLR2K,2.3282868812332595e-5
HSBP1L1,2.3401786495234443e-5
COPS8,2.3461106996117747e-5
LMBRD1,2.370285795275573e-5
FIGNL1,2.371390843607689e-5
DLGAP4,2.377295343227173e-5
SUCLG1,2.4090671159258183e-5
MTAP,2.411687357295378e-5
RPL7L1,2.4123754704299407e-5
TRAF3IP2,2.428254591452369e-5
PHLDA1,2.4463376752462492e-5
SIRT6,2.471362000103453e-5
STARD5,2.4824539722194713e-5
CNN2,2.488864851621682e-5
ERBB2IP,2.4922564481317456e-5
GABARAP,2.497142064568822e-5
TMEM56,2.5029959981085876e-5
CD82,2.5061879251736597e-5
PIGS,2.5168533621095855e-5
RAN,2.5236815431384468e-5
ST6GALNAC6,2.524044035999559e-5
ASB8,2.5438586268726894e-5
CTC1,2.5538901223532215e-5
PARM1,2.5585789114353085e-5
RPN2,2.561002232840873e-5
TFAP4,2.5623896801840896e-5
CDCA4,2.56560385235777e-5
KIAA1161,2.56571006163939e-5
HBB,2.578970232348205e-5
GLT25D1,2.5844149750443293e-5
CHEK1,2.614088763467641e-5
TRPM4,2.6294269356141503e-5
PROSAPIP1,2.6364531083472843e-5
NSMCE2,2.638387802018063e-5
ST7,2.6387881929294056e-5
SIDT2,2.6571841171985406e-5
COL4A2,2.661337090841428e-5
PAQR8,2.6711311684706262e-5
NUTF2,2.686241452571324e-5
ZC3H8,2.728618811160771e-5
LOC100506668,2.8096552781172676e-5
ECE1,2.8186120622142646e-5
TBC1D22A,2.84109417240356e-5
DPM1,2.8537170847680853e-5
NMD3,2.8843442197630517e-5
PRKDC,2.8998618069834488e-5
SMYD5,2.900360074748805e-5
HSPE1,2.9015222581193896e-5
RABL5,2.9023249911887876e-5
TUBB,2.909751236040735e-5
TSPAN3,2.916662157547873e-5
SGK1,2.9289579200443368e-5
POLE3,2.932569522580548e-5
CHMP6,2.9402466417801026e-5
MAST3,2.9577337462704006e-5
MAPK7,2.968842289895751e-5
VCAN,2.9884200046087765e-5
VILL,2.98863716902115e-5
ANAPC1,2.997095118637879e-5
SCML1,3.0287247293028035e-5
RRS1,3.0477634928178864e-5
PTRH1,3.0624291330471476e-5
APOBR,3.081471473820715e-5
UBA7,3.089975873144677e-5
DDX18,3.0969065572635105e-5
LIMA1,3.1167955414134866e-5
USPL1,3.1214304874665765e-5
PBLD,3.128259264506227e-5
UQCRC2,3.129013770833566e-5
NFXL1,3.138343696808e-5
OTUD6B,3.1383875701580044e-5
LRCH1,3.13994104027503e-5
SLC29A1,3.200666073702861e-5
SYNCRIP,3.201396155394764e-5
PDK4,3.206324110261151e-5
TPX2,3.207062774270807e-5
METTL5,3.245594709747107e-5
ATPAF2,3.2456514260612903e-05
TAF1D,3.24802589153335e-5
ACAA1,3.248684504181175e-5
HMGCL,3.265025565845749e-5
LITAF,3.291458411884852e-5
ZC3H15,3.298936689680065e-5
NOL10,3.31496252224592e-5
ADH1C,3.328110209183805e-5
TAX1BP3,3.3496339770142406e-5
N6AMT2,3.372808099705441e-5
UBE2J1,3.382226559683279e-5
NCOA1,3.3869747860005325e-5
GTPBP5,3.4061651535110813e-5
POLA1,3.412014592419487e-5
ZNF672,3.423737650111977e-5
NEO1,3.430271936714903e-5
LMBR1,3.4466372856982063e-05
HEATR5A,3.452563205686545e-5
LGMN,3.460675699342843e-5
PSEN1,3.4747142973448555e-5
