ID,P.Value
PEX26,1.0724565112307752e-10
ZBTB7B,4.205058773671927e-10
TEAD4,1.1113214582791094e-9
CLDN23,1.2287903509519405e-9
GNA11,1.7328945114908731e-9
CNNM2,2.042429142586584e-9
TP53INP2,3.950447251921438e-9
ZZEF1,4.328578637530775e-9
ACADS,4.850408461447596e-9
UBFD1,5.046669706376829e-9
CCNYL1,5.383468124681738e-9
PNO1,5.972224799477479e-9
APPL2,6.4325914984966754e-9
FUCA1,6.46802431629545e-9
GLTP,6.583334733706189e-9
PRDX6,6.738808768751732e-9
DHRS11,6.984440504597608e-9
CALU,7.281480731273816e-9
PPIL1,8.154449438481381e-9
HIGD1A,9.50616877273982e-9
TESK2,9.930188488227063e-9
SPECC1L,1.0027292632863472e-8
PLCD1,1.1071221032195805e-8
HPS1,1.1872640082757072e-8
SLC36A1,1.2242474289895303e-8
CFD,1.383993457444944e-8
AGXT2L2,1.38433080196227e-8
MXI1,1.4431453369808327e-8
PDE8A,1.8138968330720968e-8
CLEC3B,1.905898178871798e-8
TNFRSF12A,1.970526174236842e-8
SPPL2A,2.027658081765668e-8
NUDCD1,2.1113830385259832e-8
LOC541471,2.2255215779664697e-8
SLC22A5,2.2464395758547765e-8
SMPDL3A,2.260086645841015e-8
GRAMD3,2.4133546197228777e-8
ANK3,2.414231802043806e-8
POLR1A,2.576299568557736e-8
CA2,2.7675302771865118e-8
BYSL,2.9371177289096202e-8
SLC25A23,2.9665120849249695e-8
RILP,3.0074384968243447e-8
COL4A1,3.633254806089321e-8
TMEM37,3.6704359006604304e-8
ABHD3,3.8037927711863594e-8
KLF4,3.837910412552811e-8
"NAAA",3.888536790438769e-8
CIRH1A,4.198689720306479e-8
MIER3,4.2097315840799547e-8
PRPF4,4.388494955851894e-8
RIOK3,5.112721990188737e-8
MRPL17,5.623795355639738e-8
SLC26A2,5.763138891680929e-8
OGFOD1,6.055769807602783e-8
GART,6.292383474385546e-8
TBC1D16,6.476572562566555e-8
ACO2,7.144308847645565e-8
ASUN,7.26021304804792e-8
UGGT2,7.334999316570054e-8
UGP2,7.502790416957435e-8
CDK2,7.664069457858154e-8
ETHE1,7.70283282467958e-8
SSB,8.209721439005307e-8
RPAP3,8.360022027922101e-8
PTGER4,8.666202928494972e-8
CAD,8.865691878140611e-8
HILPDA,8.915250476792054e-8
MYO15B,9.209574875305375e-8
ANPEP,9.27014371709645e-8
NBPF10,9.975825840708592e-8
