"","X","source","target","weight"
"184",223,"HNF1A","",1
"185",224,"LOC100512363","LIPE",1
"186",225,"SMAD4","SERPINE1",1
"187",226,"","SERPINE1",1
"188",227,"LOC100738308","",1
"189",228,"","IFNG",1
"190",230,"LOC100622994","LOC100622994",-1
"191",233,"TP53","BAX",1
"192",234,"TP53","CCNG1",1
"193",235,"TP53","LOC100524478",1
"194",236,"TP53","Gadd45a",1
"195",238,"","IFNG",1
"196",239,"","IFNG",1
"197",240,"DMTF1","Cdkn2a",1
"198",241,"TP53","Cdkn2a",1
"199",242,"PPARG","LOC100521689",1
"200",243,"SP1","NPR1",1
"201",244,"LOC100621629","NPR1",1
"202",245,"LOC100738392","CYP17A1",1
"203",246,"SP1","RAC1",1
"204",247,"LOC100621629","RAC1",1
"205",249,"Neurod2","",1
"206",250,"RUNX1","FOS",1
"207",251,"NEUROD1","LOC100521423",1
"208",252,"HHEX","",1
"209",253,"HHEX","HHEX",1
"210",254,"FOXO3","FASLG",1
"211",256,"CEBPZ","Ins2",1
"212",258,"USF1","LOC100739739",1
"213",259,"USF1","Ins2",1
"214",260,"Cebpd","IGF1",1
"215",263,"ELK1","SOD1",1
"216",264,"Yy1","SOD1",1
"217",265,"LOC100515914","Gp9",1
"218",266,"LOC100515914","ITGA2B",1
"219",267,"HNF4A","SERPINB5",1
"220",268,"ELK1","EGR1",1
"221",269,"ELK4","EGR1",1
"222",270,"POU1F1","POU1F1",1
"223",271,"POU1F1","PRL",1
"224",272,"PBX1","PRKACA",1
"225",273,"POU1F1","PREB",1
"226",274,"POU1F1","PRKACA",1
"227",275,"STAT3","POMC",1
"228",276,"TP53","Ptgs2",-1
"229",277,"","Ptgs2",1
"230",278,"TP53","TICAM2",1
"231",279,"","RB1",1
"232",280,"LOC100738189","RB1",1
"233",281,"CREB1","CHGA",1
"234",282,"TFAP2A","ST3GAL4",1
"235",283,"SP1","CLC-2",1
"236",284,"LOC100621629","CLC-2",1
"237",285,"LOC100525580","NOS2",1
"238",286,"","NOS2",1
"239",287,"CEBPA","ALB",1
"240",289,"TP53","ALOX12",1
"241",291,"IRF1","IL28B",1
"242",293,"IRF2","IL28B",1
"243",295,"IRF3","IL28B",1
"244",297,"RELA","IL28B",1
"245",298,"IRF2","IRF2",1
"246",299,"CREB1","LOC100738589",1
"247",300,"LOC100738308","IFNG",1
"248",301,"LOC100627682","IFNG",1
"249",303,"LOC100624472","IL-6",1
"250",304,"EGR1","IL-1beta",1
"251",305,"EGR1","IL1A",1
"252",306,"HIF1A","EPO",1
"253",307,"LOC100522894","EPO",1
"254",308,"Myc","",1
"255",310,"TFAP2A","NQO1",1
"256",311,"FOS","TGFB1",1
"257",312,"TP53","MMP1",-1
"258",314,"","Reg1",1
"259",315,"","T",1
"260",316,"POU1F1","GHRHR",1
"261",317,"ARNT","EPO",1
"262",318,"","MDM2",1
"263",319,"","TP53",1
"264",320,"Myc","Emp1",1
"265",321,"LOC100737684","Emp1",1
"266",323,"KLF11","LOC100515788",1
"267",324,"NFATC2","TAT",1
"268",325,"TCF4","SSTR2",1
"269",326,"HIVEP2","SSTR2",1
"270",327,"LOC100737684","CRYAB",1
"271",328,"","LOC100623143",1
"272",329,"E2F4","LOC100153846",-1
"273",330,"RUNX1","LOC100738877",1
"274",331,"POU1F1","TRHR",1
"275",332,"Yy1","ACR",1
"276",333,"LOC100512363","",-1
"277",336,"SP1","LOC100623143",1
"278",337,"LOC100158102","MYH7",1
"279",338,"GATA4","MYH7",1
"280",339,"GATA4","",1
"281",340,"SRF","",1
"282",341,"ELF1","IL-5",1
"283",342,"","IL-5",1
"284",343,"","IL-5",1
"285",344,"ETS1","IL-5",1
"286",346,"SP1","TGFB1",1
"287",347,"","LOC100738967",1
"288",348,"MSX1","MSX1",-1
"289",350,"LOC100737965","LOC100737965",1
"290",351,"LOC100522894","BCR",1
"291",352,"","BCR",1
"292",353,"LOC100512643","LOC100515564",1
"293",354,"LHX2","PCYT1A",1
"294",355,"SP1","PCYT1A",1
"295",356,"DDIT3","HSPA5",1
"296",358,"FOS","OXTR",1
"297",359,"LOC100152845","OXTR",1
"298",360,"LOC100624472","OXTR",1
"299",362,"TP53","LOC100738968",1
"300",363,"REL","IL2RA",1
"301",364,"LOC100516014","LOC100157073",1
"302",365,"FOS","AGTR2",1
"303",368,"SP1","",1
"304",369,"Yy1","",-1
"305",370,"CEBPA","PCK1",1
"306",371,"WT1","LOC100623143",1
"307",372,"VDR","LOC396710",1
"308",373,"LOC100739594","",-1
"309",381,"HR","IGFBP1",1
"310",382,"Gm1862","CAT",1
"311",383,"","SRC",1
"312",385,"FOS","ERCC1",1
"313",386,"Yy1","CXCR4",-1
"314",387,"Myc","CXCR4",1
"315",388,"USF1","CXCR4",1
"316",392,"CREB1","ANG1",1
"317",393,"LOC100738392","LOC100738392",1
"318",395,"TP53","LOC100737549",1
"319",396,"LOC100157564","LOC100522182",1
"320",397,"DDIT3","EPO",1
"321",398,"LOC100738392","LHB",1
"322",399,"NR0B1","LHB",-1
"323",400,"ATF2","TNF",1
"324",401,"LOC100624472","TNF",1
"325",402,"GATA4","LOC606743",1
"326",403,"LOC100521411","LOC606743",1
"327",404,"AR","Acot11",1
"328",405,"GATA4","Acot11",1
"329",406,"GATA4","AR",1
"330",407,"LOC100521411","Acot11",1
"331",408,"LOC100521411","AR",1
"332",409,"","Acot11",1
"333",410,"","AR",1
"334",411,"","LOC100518251",1
"335",412,"Yy1","HMGCS2",-1
"336",413,"LEF1","LOC100738589",1
"337",414,"PAX6","SST",1
"338",415,"","STAR",1
"339",416,"LOC100738392","STAR",1
"340",417,"POU1F1","FOS",1
"341",418,"POU1F1","SSTR5",1
"342",419,"EGR1","",1
"343",420,"LOC100738392","RH",1
"344",421,"SRF","FOS",1
"345",422,"FOS","TF",1
"346",423,"","LOC100511251",1
"347",424,"Myc","LOC100623143",-1
"348",425,"LOC100624472","IL2",1
"349",426,"SOX9","LOC100523846",1
"350",427,"IRF2","LOC100623143",1
"351",430,"IRF1","IRF2",1
"352",431,"IRF2","IRF1",1
"353",432,"TP53","BTG2",1
"354",433,"TP53","LOC100156280",1
"355",434,"TP53","Mrpl41",1
"356",435,"TP53","LOC100623707",1
"357",436,"LOC100621629","LOC100623143",1
"358",437,"TP53","PCNA",1
"359",438,"LOC100738308","IFNB1",-1
"360",440,"AR","AR",1
"361",441,"ATF2","LOC100624472",1
"362",442,"ATF2","LOC100623607",1
"363",443,"ATF2","LOC100521706",1
"364",444,"LOC100624472","LOC100521706",1
"365",446,"HSF1","ICAM-1",1
"366",447,"HSF1","IL-6",1
"367",448,"HSF1","TNF",1
"368",449,"HSF1","IL-1beta",1
"369",451,"LOC100624946","UCP3",1
"370",452,"REL","JAG1",1
"371",453,"RELA","JAG1",1
"372",455,"HES1","FCER1G",1
"373",457,"EGR1","F3",1
"374",458,"SRF","EGR1",1
"375",459,"SP1","SP1",1
"376",460,"LOC100157892","LOC100515541",1
"377",461,"LOC100736643","LOC100738877",1
"378",464,"LOC100521005","BTK",1
"379",465,"LOC100521005","",1
"380",466,"HNF4A","Serpina1d",1
"381",467,"HNF1A","Serpina1d",1
"382",468,"HNF1B","Serpina1d",1
"383",469,"SOX9","LOC100155436",1
"384",470,"EGR1","SRF",1
"385",471,"SRF","SRF",1
"386",472,"","FGF2",1
"387",473,"LOC100624472","CSF2",1
"388",474,"NFATC2","CSF2",1
"389",475,"VDR","CSF2",1
"390",476,"LOC100738718","LOC100624472",1
"391",477,"GATA-6","NPPA",1
"392",478,"","IFNG",1
"393",479,"LOC100737965","MMP-13",1
"394",480,"LOC100515914","EPO",1
"395",481,"LOC100515914","RB1",1
"396",482,"LOC100515914","LOC100514804",1
"397",483,"LOC100157564","LOC100157564",1
"398",484,"PDX1","LOC100524478",1
"399",485,"PDX1","Ins2",1
"400",486,"HNF4A","HNF1A",1
"401",487,"NR2F2","HNF1A",1
"402",488,"HNF1A","Ins2",1
"403",489,"NR1H4","CYP7A1",-1
"404",490,"Ascl1","LOC100738968",1
"405",491,"HES1","LOC100738968",1
"406",492,"RFX1","PCNA",-1
"407",494,"LOC100520079","SAG",1
"408",495,"","SAG",1
"409",496,"LOC100153846","DHFR",1
"410",497,"","DHFR",1
"411",498,"LOC100738189","IL2",1
"412",500,"LOC100738392","",1
"413",501,"T","RB1",1
"414",502,"Jdp2","",-1
"415",503,"LOC100621582","",1
"416",504,"LOC100624472","THBS1",1
"417",505,"WT1","THBS1",1
"418",506,"SP1","IGFBP4",1
"419",507,"ESR2","PRL",1
"420",508,"PBX1","PRL",1
"421",509,"LOC396710","LOC100623607",1
"422",510,"LOC100738392","CTLA4",1
"423",511,"PBX1","T",1
"424",512,"","LOC100738877",1
"425",513,"LOC100514064","TEK",1
"426",514,"ELF1","",1
"427",515,"AR","NCOA4",1
"428",516,"NR2C2","CYP24A1",1
"429",517,"TP53","LOC100523107",1
"430",518,"Jund","Jund",1
"431",521,"","TP53",1
"432",522,"Myc","TP53",1
"433",524,"FOS","TP53",1
"434",525,"Nfkb1","TP53",1
"435",526,"RELA","TP53",1
"436",527,"LOC100520079","GRB10",1
"437",528,"LOC100624472","GCS",1
"438",530,"LOC100624472","GHRHR",1
"439",535,"TP63","IL12B",1
"440",536,"LOC100621111","NOS2",1
"441",537,"NR2F2","ALDH2",1
"442",538,"","ALDH3A1",1
"443",539,"LOC100512643","GRB10",1
"444",540,"LOC100627932","LOC100515564",1
"445",541,"HR","LOC100515564",1
"446",542,"FOXO1","IGFBP1",1
"447",543,"LOC100738308","CSN2",1
"448",544,"STAT5A","CSN2",1
"449",545,"STAT5B","CSN2",1
"450",546,"GATA4","LOC100519127",1
"451",547,"IRF1","CCL4",1
"452",548,"","",1
"453",549,"","SAMHD1",1
"454",550,"TP53","PGAM2",1
"455",551,"","UTRN",1
"456",552,"","CYP1A1",1
"457",553,"","CYP1A1",1
"458",554,"PITX2","Siglec1",1
"459",556,"NR5A2","CYP7A1",-1
"460",557,"LOC100738308","SOCS3",1
"461",558,"STAT3","SOCS3",1
"462",559,"POU2F1","IL-5",1
"463",560,"Yy1","IL-5",1
"464",561,"WT1","Mtpn",1
"465",562,"SP1","",1
"466",563,"LOC396709","PLAU",1
"467",564,"SP1","PLAU",1
"468",566,"LEF1","MMP7",1
"469",567,"","BTK",1
"470",568,"SP1","BTK",1
"471",569,"LOC100621629","BTK",1
"472",570,"LOC100621629","SP1",1
"473",571,"XBP1","",1
"474",572,"LOC100627682","IL4",1
"475",573,"LOC100627682","SELP",1
"476",574,"","APOA2",1
"477",575,"SP1","LOC100738195",1
"478",576,"","",1
"479",577,"GATA4","STAR",1
"480",578,"EGR1","MMP12",-1
"481",581,"","C7H15orf24",1
"482",582,"LOC100525580","HP",1
"483",583,"","LOC100519764",-1
"484",584,"EGR1","LOC100519764",1
"485",585,"SP1","LOC100519764",1
"486",586,"LOC100624472","LOC100624472",1
"487",587,"TP53","IL-6",1
"488",588,"","APP",1
"489",589,"","T",1
"490",591,"NEUROD1","NEUROD1",1
"491",592,"Tcf12","NEUROD1",1
"492",594,"LOC100624472","",1
"493",595,"RELA","CD40LG",1
"494",596,"LOC100516292","LOC100738877",1
"495",597,"SP1","ABCC8",1
"496",600,"STAT5A","Ins2",1
"497",601,"STAT5A","PRL",1
"498",602,"STAT5A","PRLR",1
"499",604,"STAT5B","Ins2",1
"500",605,"STAT5B","PRL",1
"501",606,"STAT5B","PRLR",1
"502",607,"PBX1","LOC100623607",1
"503",608,"STAT5A","LOC100623607",1
"504",609,"STAT5B","LOC100623607",1
"505",611,"LOC100621111","PLG",1
"506",613,"SP1","CEBPA",-1
"507",614,"","SP1",1
"508",615,"Cebpd","SP1",1
"509",616,"LOC100623338","BTK",1
"510",617,"LOC100523307","LOC100738877",-1
"511",619,"LOC100627682","LOC100738967",1
"512",620,"RBPJ","IL-6",1
"513",621,"SP1","ODC",1
"514",622,"LOC100621629","ODC",-1
"515",623,"LOC100624472","IGFBP1",1
"516",624,"Myc","ACTB",1
"517",625,"Myc","BRCA1",1
"518",626,"LOC100738392","CYP19A1",1
"519",627,"","IL-6",-1
"520",628,"XBP1","IL-6",-1
"521",629,"","Nodal",1
"522",630,"LOC100624946","VCAM1",-1
"523",631,"LOC100737684","LOC100627733",1
"524",632,"Myc","BIN1",1
"525",633,"Myc","ODC",1
"526",635,"","CXCR4",1
"527",636,"GATA1","BCL2L1",1
"528",637,"LOC100518190","LOC100156071",-1
"529",638,"Myc","LOC100156071",-1
"530",639,"","LOC100156071",-1
"531",640,"LOC100521817","LOC100521817",1
"532",641,"","LOC100521817",1
"533",642,"NOR-1","IL2",1
"534",643,"NOR-1","IL4",1
"535",644,"NOR-1","",1
"536",645,"NOR-1","LOC100515419",1
"537",646,"TP63","LOC100623143",1
"538",649,"SP1","CYP11A1",1
"539",650,"LOC100622994","Myc",-1
"540",651,"","Myc",-1
"541",652,"","LOC100621099",1
"542",654,"","LOC100621099",1
"543",655,"LOC100737684","COMT",1
"544",657,"","TIMP1",1
"545",659,"LOC100516014","LOC100523996",1
"546",660,"Gm1862","EGR1",1
"547",661,"CREB1","EGR1",1
"548",662,"Gm1862","MAP2K2",1
"549",663,"LOC100516083","Cryaa",-1
"550",664,"LOC100624472","Cryaa",1
"551",666,"EGR1","",1
"552",667,"","",-1
"553",668,"WT1","",1
"554",669,"USF1","PDX1",1
"555",673,"EGR1","",1
"556",674,"EGR1","TKT",1
"557",675,"ELF1","FCGRT",-1
"558",677,"GATA1","FCGRT",1
"559",679,"HMGA1","Ly6e",1
"560",681,"POU2F1","Ly6e",1
"561",682,"Pou2f2","Ly6e",1
"562",683,"GATA1","LOC100152957",1
"563",684,"LOC100520816","LOC100520816",1
"564",685,"LOC100520816","DBH",1
"565",686,"LOC100520816","FOS",1
"566",687,"POU1F1","PRDX6",1
"567",688,"SP1","PRDX6",1
"568",689,"CREB1","MYB",1
"569",690,"SREBF2","KPNB1",1
"570",691,"","CDKN1B",1
"571",693,"EGR1","EGR1",-1
"572",694,"EGR1","NOR-1",1
"573",696,"ELF1","LYZ",1
"574",697,"ELF4","LYZ",1
"575",699,"TP53","",1
"576",700,"TP53","LOC100620928",1
"577",701,"Dlx4","GATA1",-1
"578",702,"LOC100516574","",1
"579",703,"LOC100736898","",1
"580",704,"LOC100738308","CD40",1
"581",705,"NR0B1","STAR",-1
"582",706,"AR","STAR",1
"583",707,"T","LOC100518251",1
"584",710,"HNF1A","CYP7A1",1
"585",711,"NR1H3","CYP7A1",1
"586",712,"NR2F2","CYP7A1",1
"587",713,"IRF1","TNF",1
"588",714,"MITF","MCT7",1
"589",715,"STAT5A","HSD3B1",1
"590",716,"","STAT5A",1
"591",717,"VDR","TERT",1
"592",718,"CREB1","PRL",1
"593",719,"NCOA1","PRL",1
"594",720,"","PRL",1
"595",721,"VDR","PRL",1
"596",722,"","MYOD1",-1
"597",724,"WT1","WT1",-1
"598",725,"WT1","LOC100738877",1
"599",726,"FOS","CLU",-1
"600",727,"LOC100525383","CLU",1
"601",728,"","CLU",1
"602",729,"CREB1","LOC100738422",1
"603",730,"LOC100624472","SFTPB",1
"604",731,"PAX6","",1
"605",732,"Ascl1","EHD1",1
"606",733,"LOC100512363","Ins2",1
"607",734,"LOC100512363","",1
"608",735,"","Ins2",1
"609",736,"","PPARG",1
"610",737,"SREBF2","PPARG",1
"611",738,"","TAF2",1
"612",739,"LOC100737684","",1
"613",740,"ESR2","OXT",1
"614",741,"","",1
"615",742,"","PDGFRB",1
"616",743,"LOC100525580","LOC100624088",1
"617",744,"SP1","LOC100624088",1
"618",745,"","LOC100624088",1
"619",746,"TFAP2A","LOC100624088",1
"620",747,"SP1","",1
"621",748,"LOC100624472","",1
"622",750,"USF1","SPP1",1
"623",751,"HIF1A","VEGFA",1
"624",752,"SMAD4","LOC100623143",1
"625",754,"PDX1","S100G",1
"626",755,"VDR","S100G",1
"627",756,"","LOC100621981",1
"628",757,"","LOC100620458",1
"629",758,"LOC100737684","",1
"630",759,"LOC100523307","CSN2",1
"631",760,"NR3C2","CSN2",1
"632",761,"PGR","CSN2",1
"633",762,"EGR1","TNF",1
"634",763,"","LOC100620588",1
"635",764,"IRF1","IL18",1
"636",765,"STAT5A","IL4",1
"637",766,"STAT5B","IL4",1
"638",767,"SP1","FN1",1
"639",768,"Dlx4","LOC100517267",-1
"640",769,"ZBTB12","LOC100517267",-1
"641",770,"Dlx4","FN1",-1
"642",771,"FOS","FN1",1
"643",772,"LOC100624472","FN1",1
"644",773,"Myc","FN1",-1
"645",774,"ZBTB12","FN1",-1
"646",775,"PPARG","Fabp4",1
"647",777,"PDX1","LOC100518074",1
"648",778,"PDX1","PSMA5",1
"649",779,"TP53","LOC100624472",1
"650",780,"STAT5A","BCL2L1",1
"651",781,"SP1","LEP",1
"652",782,"STAT5A","LOC100152038",1
"653",783,"","TERT",1
"654",784,"EGR1","MMP14",1
"655",785,"LOC100737684","SPP1",1
"656",786,"ESR2","SPP1",1
"657",787,"","COL5A2",1
"658",789,"PPARG","",1
"659",791,"PBX1","",1
"660",792,"PBX1","LHCGR",1
"661",793,"PBX1","LHB",1
"662",794,"Pou2f2","TGFA",1
"663",795,"PDX1","GFAP",1
"664",796,"LOC100738308","Ptgs2",1
"665",797,"STAT5A","Ptgs2",1
"666",798,"","IL-6",-1
"667",800,"LOC100738189","CD79A",1
"668",801,"LOC100738189","RAG2",1
"669",802,"","LOC100738189",1
"670",803,"","Cntn2",1
"671",804,"TP53","LOC100738967",1
"672",805,"ETS1","PARP1",1
"673",806,"TP53","LOC100621099",1
"674",807,"TP53","",1
"675",808,"","",1
"676",809,"","LOC100738967",1
"677",810,"","Gadd45a",1
"678",812,"POU2F1","H2-Ea-ps",-1
"679",813,"ETS1","",1
"680",814,"LOC100624472","",1
"681",815,"LOC100627430","CDK1",1
"682",816,"LOC100627430","LOC100623607",1
"683",817,"LOC100525580","CD14",1
"684",818,"","Prg2",1
"685",819,"GATA1","Prg2",1
"686",820,"GATA1","MBP",1
"687",821,"Zfpm1","MBP",1
"688",822,"LOC100525580","MBP",1
"689",823,"","MBP",1
"690",825,"PDX1","PIK3C3",1
"691",826,"","",1
"692",827,"STAT3","",1
"693",828,"LOC100738308","",-1
"694",829,"LOC100738308","HSPA4",1
"695",830,"HSF1","",1
"696",831,"HSF1","HSPA4",1
"697",832,"STAT3","HSPA4",1
"698",835,"APEX1","APEX1",1
"699",836,"APEX1","",1
"700",837,"","APEX1",1
"701",841,"","HP",1
"702",842,"","MAPK1",1
"703",843,"STAT3","HP",1
"704",844,"TEAD2","TP53",1
"705",845,"HIF1A","TFRC",1
"706",846,"CEBPZ","HSPA4",1
"707",847,"Myc","HSPA4",1
"708",848,"SP1","PSEN1",1
"709",850,"NR0B1","NR0B1",-1
"710",851,"LOC100738392","NR0B1",1
"711",852,"LOC100737684","LOC100521706",1
"712",853,"SP1","LOC100158185",1
"713",854,"SP1","LOC100521706",1
"714",855,"LOC100737684","LOC100153846",1
"715",856,"SP1","LOC100153846",1
"716",857,"LOC100621629","CYP11A1",1
"717",858,"TFAP2A","CYP11A1",1
"718",859,"SP1","",1
"719",860,"LOC100621629","",1
"720",861,"","CYP11A1",1
"721",862,"STAT3","HSPCB",1
"722",863,"LOC100523859","ODC",-1
"723",864,"LOC100515279","ODC",1
"724",865,"LOC100515279","GAST",1
"725",866,"LOC100622994","LOC100624130",-1
"726",867,"TP53","LOC100518251",1
"727",868,"SP1","PLAT",1
"728",869,"LOC100621629","PLAT",1
"729",870,"","CSF2RB",1
"730",871,"","IL-1beta",1
"731",872,"","IL-1beta",1
"732",873,"","IL-1beta",1
"733",874,"IRF2","IFNG",1
"734",877,"SP1","NFKBIA",1
"735",878,"AR","ASIP",1
"736",879,"AR","",1
"737",880,"AR","SRC",1
"738",881,"NCOA1","LOC100739477",1
"739",882,"NCOA1","PSMD4",1
"740",883,"","ASIP",1
"741",884,"","",1
"742",885,"","LOC100739477",1
"743",886,"","PSMD4",1
"744",887,"","SRC",1
"745",888,"SP1","RECK",1
"746",890,"RUNX1","BLK",1
"747",891,"LOC100738189","BLK",1
"748",892,"SREBF2","",1
"749",894,"FOXA1","LOC100739773",1
"750",895,"NR4A2","LOC100738422",1
"751",896,"","LOC100738422",1
"752",897,"SP1","MBP",1
"753",898,"LOC100526226","",-1
"754",899,"LOC100526226","IL2",-1
"755",900,"PGR","IGFBP1",1
"756",901,"LOC100738392","CYP11A1",1
"757",903,"HNF1A","LOC100739320",1
"758",904,"LOC100738469","LOC100738469",-1
"759",905,"Nfkb1","LOC100738589",1
"760",906,"RELA","LOC100738589",1
"761",907,"Cebpd","IL-1beta",1
"762",908,"","IL-1beta",1
"763",909,"ESR2","",1
"764",910,"LOC100512227","ASIP",1
"765",911,"TP53","LOC100627382",1
"766",913,"RELA","PLAU",1
"767",914,"Myc","Myc",-1
"768",915,"KLF1","LOC100515788",1
"769",916,"REL","CCL8",1
"770",917,"RELA","CCL8",1
"771",919,"TP53","",1
"772",920,"","",1
"773",921,"WT1","LOC100518190",-1
"774",922,"","",1
"775",923,"ARNT","",1
"776",925,"STAT5A","STAT5A",1
