"","X","source","target","weight"
"1",0,"Myc","TERT",1
"2",1,"","BGLAP",1
"3",4,"","LOC100624472",1
"4",5,"SMAD4","LOC100624472",1
"5",6,"STAT5A","IL2",1
"6",7,"STAT5B","IL2",1
"7",8,"RELA","FAS",1
"8",9,"WT1","NR0B1",1
"9",10,"LOC100526226","CASP1",-1
"10",11,"SP1","",1
"11",12,"TP53","IGF1R",-1
"12",13,"ZBTB16","CCNA2",-1
"13",16,"RUNX1","RH",1
"14",17,"LOC100738308","LOC100623143",1
"15",18,"STAT3","LOC100623143",1
"16",19,"TP53","",1
"17",20,"ETV4","GGT1",1
"18",21,"MTF1","LOC100523602",1
"19",22,"CREB1","HMGCS2",1
"20",25,"","PCK1",1
"21",26,"FOS","",1
"22",27,"RELA","",1
"23",28,"","TERT",1
"24",29,"PLAG1","PLAG1",1
"25",30,"TP53","LOC100623143",1
"26",31,"TP53","RB1",-1
"27",32,"LOC100153846","LOC100623143",1
"28",33,"","LOC100623143",1
"29",34,"Hbp1","LOC100623143",-1
"30",35,"Yy1","LOC100523307",1
"31",37,"LOC100737684","LOC100738058",1
"32",38,"LOC100624472","LOC100738058",1
"33",39,"CAR","CYP2B22",1
"34",41,"LOC100521780","LOC100515788",-1
"35",42,"LOC100622324","LOC100515788",1
"36",43,"TP53","ACTA1",1
"37",44,"TP53","LOC100738877",-1
"38",45,"LOC100627877","DBH",1
"39",46,"","IL12B",1
"40",48,"","IRF1",1
"41",49,"IRF1","IRF1",1
"42",51,"ATF2","IL-6",-1
"43",52,"WT1","ODC",1
"44",53,"NR2C2","LOC100738589",1
"45",61,"TFAP2A","CCL2",1
"46",62,"FOS","FOS",-1
"47",63,"HNF1A","IGF1",1
"48",64,"STAT5A","IGF1",1
"49",66,"ETS1","TIMP1",1
"50",67,"ETV4","TIMP1",1
"51",68,"","NOS2",1
"52",69,"","ADRA1D",1
"53",70,"ARNT","LOC100739422",1
"54",72,"","LOC100739422",1
"55",73,"TP53","Gm5593",-1
"56",74,"PAX6","L1CAM",1
"57",75,"LOC100627358","LOC100738967",1
"58",76,"STAT5A","LOC100738589",1
"59",78,"","VLDLR",1
"60",79,"LOC100627430","VLDLR",1
"61",80,"LOC100525580","VLDLR",1
"62",81,"TP53","MDM2",1
"63",83,"LOC100515279","LOC100623143",1
"64",84,"NFIX","LOC100738967",1
"65",85,"NFIX","SRC",1
"66",86,"NFIX","GAL",1
"67",87,"NFIX","NFIX",1
"68",88,"RBPJ","MYOD1",-1
"69",89,"RBPJ","HES1",1
"70",90,"HES1","HES1",1
"71",91,"ATF2","LOC100738589",1
"72",92,"LOC100624472","LOC100738589",1
"73",93,"FOS","MAPK14",1
"74",94,"GATA4","INHA",1
"75",95,"GATA4","GATA4",1
"76",96,"GATA-6","GATA4",1
"77",97,"","",1
"78",98,"NFATC2","IL4",1
"79",100,"HNF4A","GUCY2C",1
"80",101,"RXRG","SFTPB",1
"81",102,"LOC396709","SFTPB",1
"82",103,"LOC100624472","LOC100623143",1
"83",104,"LOC100624472","TP53",-1
"84",105,"TP53","TP53",1
"85",106,"STAT3","PRF1",1
"86",107,"LOC100738095","JTB",1
"87",108,"LOC100522894","JTB",1
"88",109,"LOC100522894","F8",1
"89",110,"PPARG","PN-1",1
"90",111,"PPARG","SERPINE1",1
"91",112,"","Pdlim7",-1
"92",113,"USF2","Pdlim7",1
"93",114,"IRF1","SAMHD1",1
"94",115,"IRF2","SAMHD1",1
"95",116,"IRF1","IFNG",1
"96",117,"IRF1","NOS2",1
"97",118,"IRF2","NOS2",1
"98",122,"SP1","FASLG",1
"99",123,"LOC100621629","FASLG",1
"100",124,"AR","PRKACA",1
"101",125,"AR","KLK1",1
"102",126,"AR","ARR3",1
"103",127,"PLAG1","ARR3",1
"104",128,"PLAG1","PRKACA",1
"105",129,"AR","",1
"106",131,"Gm1862","CFTR",1
"107",132,"MYST2","CFTR",1
"108",133,"LOC100518742","GAST",1
"109",134,"SP1","GAST",1
"110",135,"LOC100516888","GLI1",1
"111",136,"LOC100521411","NPPA",1
"112",137,"GATA4","NPPA",1
"113",138,"Tgfb1i1","AR",1
"114",139,"LOC396710","MMP11",1
"115",140,"RARG","MMP11",1
"116",141,"RARG","LOC396710",1
"117",143,"LOC100624472","CCL5",1
"118",147,"RELA","CD40",1
"119",148,"RELA","IFNG",1
"120",149,"TEF1","TGFA",1
"121",150,"TFAP2A","TGFA",1
"122",151,"LOC100624946","",1
"123",152,"ESR2","LOC396709",1
"124",153,"LOC100737684","LOC396709",1
"125",154,"LOC100523307","Irs2",1
"126",155,"PGR","Irs2",1
"127",158,"","GTF2A1",1
"128",161,"REL","NOS2",1
"129",162,"PAX6","KRT12",1
"130",163,"LOC100511417","LOC100512227",1
"131",164,"","LOC100520993",1
"132",167,"LOC396709","LOC100518251",1
"133",168,"RUNX1","LOC100518251",1
"134",169,"Zbtb14","Myc",-1
"135",170,"MYB","EPO",1
"136",171,"Myc","EPO",1
"137",172,"SP1","NF1",1
"138",173,"","IFNG",1
"139",174,"TP53","LOC100523731",1
"140",175,"TP53","LOC100623668",1
"141",176,"Pitx1","LHB",1
"142",177,"EGR1","LHB",1
"143",178,"EGR1","LOC100518074",1
"144",179,"MYOD1","SP1",-1
"145",180,"SP1","MYOD1",1
"146",181,"TP53","FOS",-1
"147",182,"","BCL2L1",1
"148",184,"LOC100623338","FOS",1
"149",185,"LOC100623338","LOC100622433",1
"150",186,"SP1","FOS",1
"151",187,"Yy1","FOS",1
"152",188,"SP1","EGR1",1
"153",189,"LOC100621341","EGR1",1
"154",190,"","BTAF1",1
"155",191,"","DNAH8",1
"156",192,"","Myc",-1
"157",193,"TP53","LOC100738589",-1
"158",194,"IRF2","ABCC8",1
"159",195,"IRF2","SMC3",1
"160",196,"FOS","Rhoa",1
"161",197,"Jdp2","LGALS1",-1
"162",198,"LOC100624472","",1
"163",199,"LOC100622994","PNMT",-1
"164",200,"SP1","PNMT",1
"165",201,"NFIX","PCK1",1
"166",202,"CREB1","PCK1",1
"167",203,"","PCK1",1
"168",204,"HMGA1","NOS2",1
"169",205,"RELA","NOS2",1
"170",206,"Nfkb1","NOS2",1
"171",207,"USF1","USF1",1
"172",208,"","DDIT3",1
"173",209,"","DDIT3",1
"174",210,"LOC100738612","",1
"175",211,"LOC100738612","DDIT3",1
"176",212,"","LOC100738612",1
"177",213,"LOC100522370","MMP1",-1
"178",214,"","CCNA2",1
"179",215,"LOC100737965","BGLAP",1
"180",216,"TFAP2A","FABP2",1
"181",217,"TFAP2B","FABP2",1
"182",218,"ATF2","",1
"183",219,"HMGA1","",1
