"","source","target","weight","p_value"
"1","Androgen","TMPRSS2",11.4906307374,2.38480595753e-47
"2","Androgen","NKX3-1",10.6225511027,2.20510249279e-44
"3","Androgen","MBOAT2",10.4727329721,4.63237583753e-44
"4","Androgen","KLK2",10.176185878,1.94440984116e-40
"5","Androgen","SARG",11.3868523945,2.79021042494e-40
"6","Androgen","SLC38A4",7.36380493768,1.25307123795e-39
"7","Androgen","MTMR9",6.13064559946,2.53440310636e-38
"8","Androgen","ZBTB16",10.6144369438,1.56715241732e-36
"9","Androgen","KCNN2",9.4731988889,7.71187197616e-36
"10","Androgen","OPRK1",-5.62607353634,1.11424476068e-35
"11","Androgen","ADAM7",3.11174530687,3.11445587816e-32
"12","Androgen","ABCC4",9.37428478112,2.00952123408e-31
"13","Androgen","MYBPC1",4.60857869284,6.80727789424e-31
"14","Androgen","EAF2",6.94490738852,7.84196439434e-31
"15","Androgen","KLK3",14.6068407674,9.1960446294e-31
"16","Androgen","OTULINL",7.7082177175,3.93720268298e-30
"17","Androgen","PEX10",5.74946026182,1.41057071519e-29
"18","Androgen","SI",-5.79500307445,3.98607715937e-29
"19","Androgen","SNAI2",19.8215089854,8.15238863253e-29
"20","Androgen","CAMKK2",3.73954403123,2.59013000998e-28
"21","Androgen","BMPR1B",4.63408450531,6.18286300539e-28
"22","Androgen","F5",6.087825897,1.20477649211e-27
"23","Androgen","LIFR",8.6125146918,1.13344863945e-26
"24","Androgen","MAK",5.31367285271,4.17686469859e-26
"25","Androgen","GNMT",5.67263863695,9.32638494399e-25
"26","Androgen","MPC2",5.88831328709,1.22053441289e-24
"27","Androgen","CTNNA2",3.86912654352,1.5381996097e-24
"28","Androgen","CLDN8",7.82616312833,3.29816151774e-24
"29","Androgen","LRRFIP2",4.14418717192,1.81210483807e-23
"30","Androgen","LRRC31",-5.18102258915,2.47859457194e-23
"31","Androgen","LPAR3",5.84827847574,6.07583983209e-23
"32","Androgen","SLC15A2",5.13992665138,6.74975732461e-23
"33","Androgen","ELL2",6.5675774538,1.36336902078e-22
"34","Androgen","IGF1R",5.01152202997,1.45270633533e-21
"35","Androgen","DNM1L",4.18867959332,2.1356182018e-21
"36","Androgen","LRIG1",6.62607205612,3.99308941978e-21
"37","Androgen","SLITRK3",-3.32064361336,1.5034623307e-20
