"","source","target","mor"
"1","Myc","Tert",1
"2","Spi1","Bglap",1
"3","Spi1","Bglap3",1
"4","Spi1","Bglap2",1
"5","Smad3","Jun",1
"6","Smad4","Jun",1
"7","Stat5a","Il2",1
"8","Stat5b","Il2",1
"9","Rela","Fas",1
"10","Wt1","Nr0b1",1
"11","Nr0b2","Casp1",1
"12","Sp1","Aldoa",1
"13","Tp53","Igf1r",-1
"14","Zbtb16","Ccna2",-1
"15","Runx1","Rhd",1
"16","Stat3","Cdkn1a",1
"17","Tp53","Poli",1
"18","Etv4","Ggt1",1
"19","Mtf1","Mcat",1
"20","Creb1","Hmgcs2",1
"21","Foxa2","Gcg",1
"22","Nfatc2","Gcg",1
"23","Cebpb","Pck1",1
"24","Fos","Abcb1a",1
"25","Rela","Abcb1a",1
"26","Plag1","Plag1",1
"27","Tp53","Cdkn1a",1
"28","Tp53","Rb1",-1
"29","E2f1","Cdkn1a",1
"30","E2f3","Cdkn1a",1
"31","Hbp1","Cdkn1a",-1
"32","Yy1","Nr3c1",1
"33","Esr1","Mapk8",1
"34","Jun","Mapk8",1
"35","Mafk","Hbb-b1",1
"36","Nfe2l3","Hbb-b1",1
"37","Tp53","Acta1",1
"38","Tp53","Bcl2",-1
"39","Phox2a","Dbh",1
"40","Stat4","Il12b",1
"41","Stat4","Irf1",1
"42","Irf1","Irf1",1
"43","Atf2","Il6",1
"44","Wt1","Odc1",1
"45","Nr2c2","Ccnd1",1
"46","Tfap2a","Ccl2",1
"47","Fos","Fos",-1
"48","Hnf1a","Igf1",1
"49","Stat5a","Igf1",1
"50","Ets1","Timp1",1
"51","Etv4","Timp1",1
"52","Cebpb","Adra1d",1
"53","Arnt","Cyp1b1",1
"54","Ahr","Cyp1b1",1
"55","Tp53","Ccnb1",-1
"56","Pax6","L1cam",1
"57","Carf","Crebbp",1
"58","Stat5a","Ccnd1",1
"59","Cebpb","Vldlr",1
"60","Nfya","Vldlr",1
"61","Cebpg","Vldlr",1
"62","Tp53","Mdm2",1
"63","Znf148","Cdkn1a",1
"64","Nfic","Crebbp",1
"65","Nfic","Src",1
"66","Nfic","Gal",1
"67","Nfic","Nfic",1
"68","Rbpj","Myod1",-1
"69","Rbpj","Hes1",1
"70","Hes1","Hes1",1
"71","Atf2","Ccnd1",1
"72","Jun","Ccnd1",1
"73","Fos","Mapk14",1
"74","Gata4","Inha",1
"75","Gata4","Gata4",1
"76","Gata4","Gata6",1
"77","Gata6","Gata4",1
"78","E2f3","Rbl1",1
"79","Nfatc2","Il4",1
"80","Hnf4a","Gucy2c",1
"81","Rxrg","Sftpb",1
"82","Rara","Sftpb",1
"83","Jun","Cdkn1a",1
"84","Tp53","Jun",1
"85","Jun","Tp53",-1
"86","Tp53","Tp53",1
"87","Stat3","Prf1",1
"88","Dbp","Jtb",1
"89","Hlf","Jtb",1
"90","Hlf","F8",1
"91","Pparg","Serpine2",1
"92","Pparg","Serpine1",-1
"93","Max","Pdlim7",-1
"94","Usf2","Pdlim7",1
"95","Irf1","Samhd1",1
"96","Irf2","Samhd1",1
"97","Irf1","Ifng",1
"98","Irf1","Nos2",1
"99","Irf2","Nos2",-1
"100","Sp1","Faslg",1
"101","Sp3","Faslg",1
"102","Ar","Prkaca",1
"103","Ar","Klk1b26",1
"104","Ar","Klk1b8",1
"105","Ar","Klk1b9",1
"106","Ar","Klk1b1",1
"107","Ar","Klk1b11",1
"108","Ar","Klk1b27",1
"109","Ar","Klk1b22",1
"110","Ar","Klk1b21",1
"111","Ar","Klk1b5",1
"112","Ar","Klk1b16",1
"113","Ar","Klk1b3",1
"114","Ar","Klk1b24",1
"115","Ar","Klk1b4",1
"116","Ar","Klk1",1
"117","Ar","Arr3",1
"118","Atf1","Cftr",1
"119","Kat7","Cftr",1
"120","Crebzf","Gast",1
"121","Sp1","Gast",1
"122","Gli3","Gli1",1
"123","Nkx2-5","Nppa",1
"124","Gata4","Nppa",1
"125","Ar","Tgfb1i1",1
"126","Tgfb1i1","Ar",1
"127","Rarb","Mmp11",1
"128","Rarg","Mmp11",1
"129","Rarg","Rarb",1
"130","Rarb","Rarg",-1
"131","Jun","Ccl5",1
"132","Rela","Cd40",1
"133","Rela","Ifng",1
"134","Tead1","Tgfa",1
"135","Tfap2a","Tgfa",1
"136","Ppara","Nr1d1",1
"137","Esr2","Rara",1
"138","Rara","Esr1",1
"139","Esr1","Rara",1
"140","Nr3c1","Irs2",1
"141","Pgr","Irs2",1
"142","Tbp","Gtf2a1",1
"143","Gtf2a1","Tbp",1
"144","Rel","Nos2",1
"145","Pax6","Krt12",1
"146","Isl1","Nhlh1",1
"147","Rara","Kras",1
"148","Runx1","Kras",1
"149","Zbtb14","Myc",-1
"150","Myb","Epo",1
"151","Myc","Epo",1
"152","Sp1","Nf1",1
"153","Tp53","Eif2ak2",1
"154","Egr1","Prkcg",1
"155","Sp1","Myod1",1
"156","Myod1","Sp1",-1
"157","Fos","Tp53",1
"158","Tp53","Fos",-1
"159","Ets2","Bcl2l1",1
"160","Gtf2i","Fos",1
"161","Gtf2i","Smarca4",1
"162","Sp1","Fos",1
"163","Yy1","Fos",-1
"164","Sp1","Egr1",1
"165","Egr1","Sp1",1
"166","Nr2f1","Egr1",1
"167","Btaf1","Tbp",-1
"168","Tbp","Btaf1",1
"169","Tbp","Dnah8",1
"170","Myc","Eno1",1
"171","Eno1","Myc",-1
"172","Tp53","Ccnd1",-1
"173","Irf2","Abcc8",1
"174","Irf2","Smc3",1
"175","Fos","Rhoa",1
"176","Jdp2","Lgals1",1
"177","Jun","Dctn1",1
"178","Sp1","Pnmt",1
"179","Nfic","Pck1",1
"180","Creb1","Pck1",1
"181","Nr4a1","Pck1",1
"182","Hmga1","Nos2",1
"183","Rela","Nos2",1
"184","Nfkb1","Nos2",1
"185","Usf1","Usf1",1
"186","Cebpb","Ddit3",1
"187","Ddit3","Cebpb",-1
"188","Ddit3","Atf4",1
"189","Atf4","Ddit3",1
"190","Atf4","Atf3",1
"191","Atf3","Atf4",1
"192","Atf3","Ddit3",1
"193","Taf1","Ccna2",1
"194","Runx2","Bglap",1
"195","Runx2","Bglap3",1
"196","Runx2","Bglap2",1
"197","Tfap2a","Fabp2",1
"198","Tfap2b","Fabp2",1
"199","Atf2","Sele",1
"200","Hmga1","Sele",1
"201","Hnf1a","Lct",1
"202","Crem","Lipe",1
"203","Smad4","Serpine1",1
"204","Smad3","Serpine1",1
"205","Irf8","Ifng",1
"206","Pax6","Gcg",1
"207","Tp53","Bax",1
"208","Tp53","Ccng1",1
"209","Tp53","Chka",1
"210","Tp53","Gadd45a",1
"211","Etv5","Ifng",1
"212","Stat4","Ifng",1
"213","Dmtf1","Cdkn2a",1
"214","Tp53","Cdkn2a",1
"215","Pparg","Lpl",1
"216","Sp1","Npr1",1
"217","Sp3","Npr1",1
"218","Nr5a1","Cyp17a1",1
"219","Sp1","Rac2",1
"220","Sp3","Rac2",1
"221","Neurod2","Itpr1",1
"222","Runx1","Fos",1
"223","Neurod1","Ak1",1
"224","Hhex","Hhex",1
"225","Foxo3","Faslg",1
"226","Usf1","Fasn",1
"227","Usf1","Ins2",1
"228","Mbd1","Fgf2",1
"229","Cebpd","Igf1",1
"230","Elk1","Sod1",1
"231","Yy1","Sod1",1
"232","Fli1","Gp9",1
"233","Fli1","Itga2b",1
"234","Egr1","Elk1",1
"235","Elk1","Egr1",1
"236","Elk4","Egr1",1
"237","Preb","Prkaca",1
"238","Pou1f1","Pou1f1",1
"239","Pou1f1","Preb",1
"240","Preb","Pou1f1",1
"241","Pou1f1","Prkaca",1
"242","Preb","Preb",1
"243","Stat3","Pomc",1
"244","Tp53","Ptgs2",-1
"245","Tbp","Ptgs2",1
"246","Tp53","Ticam2",1
"247","Tbp","Rb1",1
"248","Pax5","Rb1",1
"249","Creb1","Chga",1
"250","Tfap2a","St3gal4",1
"251","Sp1","Clcn2",1
"252","Sp3","Clcn2",1
"253","Cebpg","Nos2",1
"254","Cebpb","Nos2",1
"255","Cebpa","Alb",1
"256","Tp53","Alox15",1
"257","Litaf","Tnf",1
"258","Irf1","Ifnl2",1
"259","Irf1","Ifnl3",1
"260","Irf2","Ifnl2",1
"261","Irf2","Ifnl3",1
"262","Irf3","Ifnl2",1
"263","Irf3","Ifnl3",1
"264","Rela","Ifnl2",1
"265","Rela","Ifnl3",1
"266","Irf2","Irf2",1
"267","Creb1","Ccnd1",1
"268","Stat6","Ifng",-1
"269","Jun","Il6",1
"270","Egr1","Il1b",1
"271","Egr1","Il1a",1
"272","Hif1a","Epo",1
"273","Hlf","Epo",1
"274","Myc","Cdc25a",1
"275","Tfap2a","Nqo1",1
"276","Fos","Tgfb1",1
"277","Tp53","Mmp1a",-1
"278","Spi1","Reg1",1
"279","Pou1f1","Ghrhr",1
"280","Arnt","Epo",1
"281","Tp73","Mdm2",1
"282","Tp53","Tp73",1
"283","Tp73","Tp53",1
"284","Myc","Emp1",1
"285","Esr1","Emp1",1
"286","Klf11","Hbb-b1",1
"287","Nfatc2","Tat",1
"288","Tcf4","Sstr2",1
"289","Hivep2","Sstr2",1
"290","Esr1","Cryab",1
"291","Tp73","Cdkn1a",1
"292","E2f4","E2f1",-1
"293","Runx1","Bcl2",1
"294","Pou1f1","Trhr",1
"295","Yy1","Acr",1
"296","Crem","Fshb",-1
"297","Sp1","Cdkn1a",1
"298","Gata5","Myh7",1
"299","Gata4","Myh7",1
"300","Gata4","Slc8a1",1
"301","Srf","Slc8a1",1
"302","Elf1","Il5",1
"303","Ets2","Il5",1
"304","Gata3","Il5",1
"305","Ets1","Il5",1
"306","Sp1","Tgfb1",1
"307","Tbp","Crebbp",1
"308","Msx1","Msx1",-1
"309","Runx2","Runx2",1
"310","Otx2","Ncam1",1
"311","Lhx2","Pcyt1a",1
"312","Sp1","Pcyt1a",1
"313","Ddit3","Hspa5",1
"314","Fos","Oxtr",1
"315","Gabpa","Oxtr",1
"316","Jun","Oxtr",1
"317","Tp53","Ngf",1
"318","Rel","Il2ra",1
"319","Fos","Agtr2",1
"320","Sp1","Ldlr",1
"321","Yy1","Ldlr",-1
"322","Cebpa","Pck1",1
"323","Wt1","Cdkn1a",1
"324","Vdr","Rarb",1
"325","Hoxc8","Smad1",1
"326","Hr","Igfbp1",1
"327","Atf1","Cat",1
"328","Relb","Src",1
"329","Fos","Ercc1",1
"330","Yy1","Cxcr4",-1
"331","Myc","Cxcr4",1
"332","Usf1","Cxcr4",1
"333","Creb1","Ang",1
"334","Nr5a1","Nr5a1",1
"335","Nr5a1","Sf1",1
"336","Tp53","Itsn1",1
"337","Cebpe","Elane",1
"338","Ddit3","Epo",1
"339","Atf2","Tnf",1
"340","Jun","Tnf",1
"341","Gata4","Adora1",1
"342","Nkx2-5","Adora1",1
"343","Ar","Acot11",1
"344","Gata4","Acot11",1
"345","Gata4","Ar",1
"346","Nkx2-5","Acot11",1
"347","Nkx2-5","Ar",1
"348","Cebpb","Kras",1
"349","Yy1","Hmgcs2",-1
"350","Lef1","Ccnd1",1
"351","Pax6","Sst",1
"352","Cebpb","Star",1
"353","Nr5a1","Star",1
"354","Pou1f1","Fos",1
"355","Pou1f1","Sstr5",1
"356","Egr1","Cish",1
"357","Nr5a1","Rhd",1
"358","Srf","Fos",1
"359","Fos","Tf",1
"360","Znf143","Stub1",1
"361","Myc","Cdkn1a",-1
"362","Jun","Il2",1
"363","Sox9","Mia",1
"364","Irf2","Cdkn1a",1
"365","Irf1","Irf2",1
"366","Irf2","Irf1",1
"367","Litaf","Mdm2",1
"368","Litaf","Mrpl41",1
"369","Litaf","Pik3r1",1
"370","Tp53","Litaf",1
"371","Litaf","Tp53",1
"372","Tp53","Btg2",1
"373","Tp53","Grem1",1
"374","Tp53","Mrpl41",1
"375","Tp53","Pik3r1",1
"376","Sp3","Cdkn1a",1
"377","Tp53","Pcna",1
"378","Ar","Ar",1
"379","Jun","Atf2",1
"380","Atf2","Jun",1
"381","Atf2","Tnfrsf11a",1
"382","Jun","Tnfrsf11a",1
"383","Ybx1","Ercc2",1
"384","Ybx1","Ercc3",1
"385","Ybx1","Xrcc1",1
"386","Hsf1","Icam1",1
"387","Hsf1","Il6",1
"388","Hsf1","Tnf",1
"389","Hsf1","Il1b",1
"390","Ppara","Ucp3",1
"391","Rel","Jag1",1
"392","Rela","Jag1",1
"393","Hes1","Fcer1g",1
"394","Egr1","F3",1
"395","Egr1","Srf",1
"396","Srf","Egr1",1
"397","Sp1","Sp1",1
"398","Foxe1","Tpo",1
"399","Pou4f1","Bcl2",1
"400","Noto","Btk",1
"401","Hnf4a","Serpina1e",1
"402","Hnf4a","Serpina1a",1
"403","Hnf4a","Serpina1b",1
"404","Hnf4a","Serpina1d",1
"405","Hnf4a","Serpina1c",1
"406","Hnf1a","Serpina1e",1
"407","Hnf1a","Serpina1a",1
"408","Hnf1a","Serpina1b",1
"409","Hnf1a","Serpina1d",1
"410","Hnf1a","Serpina1c",1
"411","Hnf1b","Serpina1e",1
"412","Hnf1b","Serpina1a",1
"413","Hnf1b","Serpina1b",1
"414","Hnf1b","Serpina1d",1
"415","Hnf1b","Serpina1c",1
"416","Sox9","Epyc",1
"417","Srf","Srf",1
"418","Pax3","Fgf2",1
"419","Jun","Csf2",1
"420","Nfatc2","Csf2",1
"421","Vdr","Csf2",-1
"422","Mef2a","Jun",1
"423","Gata6","Nppa",1
"424","Runx2","Mmp13",1
"425","Ybx1","Mmp13",-1
