"","source","target","mor"
"426","Fli1","Epo",1
"427","Fli1","Rb1",1
"428","Fli1","Cfc1",1
"429","Cebpe","Cebpe",1
"430","Pdx1","Chka",1
"431","Pdx1","Ins2",1
"432","Hnf1a","Hnf4a",1
"433","Hnf4a","Hnf1a",1
"434","Nr2f2","Hnf1a",1
"435","Hnf1a","Ins2",1
"436","Nr1h4","Cyp7a1",-1
"437","Ascl1","Ngf",1
"438","Hes1","Ngf",1
"439","Rfx1","Pcna",-1
"440","Crx","Sag",1
"441","Nrl","Sag",1
"442","E2f1","Dhfr",1
"443","Tbp","Dhfr",1
"444","Pax5","Il2",1
"445","Usf1","Jchain",1
"446","Nr5a1","Grin2c",1
"447","Jdp2","Poli",1
"448","Ubtf","Poli",1
"449","Jun","Thbs1",1
"450","Wt1","Thbs1",1
"451","Sp1","Igfbp4",1
"452","Nr5a1","Ctla4",1
"453","Mybl2","Bcl2",1
"454","Elf2","Tek",1
"455","Elf1","Cd4",1
"456","Ar","Ncoa4",1
"457","Ncoa4","Ar",1
"458","Nr2c2","Cyp24a1",-1
"459","Tp53","Ndn",1
"460","Jund","Jund",1
"461","Max","Tp53",1
"462","Myc","Tp53",1
"463","Tp53","Myc",-1
"464","Tp53","Nfkb1",1
"465","Nfkb1","Tp53",1
"466","Tp53","Rela",1
"467","Rela","Tp53",1
"468","Crx","Grb10",1
"469","Jun","Gsc",1
"470","Jun","Ghrhr",1
"471","Tp63","Il12b",1
"472","Nfkbib","Nos2",1
"473","Nr2f2","Aldh2",1
"474","Ahr","Aldh3a1",1
"475","Otx2","Grb10",1
"476","Hoxc6","Ncam1",1
"477","Hr","Ncam1",1
"478","Foxo1","Igfbp1",1
"479","Stat5a","Csn2",1
"480","Stat5b","Csn2",1
"481","Gata4","Fgf3",1
"482","Irf1","Ccl4",1
"483","Irf8","Irf8",1
"484","Irf8","Samhd1",1
"485","Tp53","Pgam2",1
"486","Spi1","Utrn",1
"487","Ahr","Cyp1a1",1
"488","Pitx2","Siglec1",1
"489","Nr5a2","Cyp7a1",-1
"490","Stat3","Socs3",1
"491","Pou2f1","Il5",1
"492","Yy1","Il5",1
"493","Sp1","Ccnd3",1
"494","Rara","Plau",1
"495","Sp1","Plau",1
"496","Nfya","Nfya",1
"497","Lef1","Mmp7",1
"498","Spi1","Btk",1
"499","Sp1","Btk",1
"500","Sp3","Btk",1
"501","Sp3","Sp1",1
"502","Sp1","Sp3",1
"503","Xbp1","Egfr",1
"504","Stat6","Il4",1
"505","Stat6","Selp",1
"506","Srebf1","Apoa2",1
"507","Sp1","Slc2a1",1
"508","Cebpb","Fshb",1
"509","Gata4","Star",1
"510","Egr1","Mmp12",-1
"511","Tcf3","Emc7",1
"512","Cebpg","Hp",1
"513","Lrrfip1","Pdgfa",-1
"514","Egr1","Pdgfa",1
"515","Sp1","Pdgfa",1
"516","Jun","Jun",1
"517","Tp53","Il6",-1
"518","Neurod1","Neurod1",1
"519","Tcf12","Neurod1",1
"520","Jun","Abcb1a",-1
"521","Rela","Cd40lg",1
"522","Ikzf3","Bcl2",1
"523","Sp1","Abcc8",1
"524","Stat5a","Ins2",1
"525","Stat5a","Prlr",1
"526","Stat5b","Ins2",1
"527","Stat5b","Prlr",1
"528","Nfkbib","Plg",1
"529","Sp1","Cebpa",-1
"530","Cebpb","Sp1",1
"531","Sp1","Cebpd",1
"532","Cebpd","Sp1",1
"533","Gtf2i","Btk",1
"534","Nr3c1","Bcl2",-1
"535","Stat6","Crebbp",1
"536","Rbpj","Il6",1
"537","Sp1","Odc1",1
"538","Sp3","Odc1",-1
"539","Jun","Igfbp1",-1
"540","Myc","Actb",1
"541","Myc","Brca1",1
"542","Brca1","Myc",1
"543","Nr5a1","Cyp19a1",1
"544","Eno1","Il6",1
"545","Xbp1","Il6",-1
"546","Zfp362","Nodal",1
"547","Ppara","Vcam1",-1
"548","Esr1","Nrip1",1
"549","Myc","Bin1",1
"550","Myc","Odc1",1
"551","Nrf1","Cxcr4",1
"552","Gata1","Bcl2l1",1
"553","Mycn","Ndrg1",-1
"554","Myc","Ndrg1",-1
"555","Max","Ndrg1",-1
"556","Hoxb1","Hoxb1",1
"557","Pknox1","Hoxb1",1
"558","Nr4a3","Il2",1
"559","Nr4a3","Il4",1
"560","Nr4a3","Itk",1
"561","Nr4a3","Cd28",1
"562","Tp63","Cdkn1a",1
"563","Ssrp1","Mapk8",1
"564","Ssrp1","Traf1",1
"565","Sp1","Cyp11a1",1
"566","Tbp","Ache",1
"567","Ssrp1","Ins2",1
"568","Esr1","Comt",1
"569","Spi1","Timp1",1
"570","Nr2c1","Hrh1",-1
"571","Atf1","Egr1",1
"572","Creb1","Egr1",1
"573","Atf1","Map2k2",1
"574","Id3","Bmp4",1
"575","Id3","Id2",1
"576","Id2","Id3",1
"577","Erf","Cryaa",1
"578","Jun","Cryaa",1
"579","Egr1","Abcb1a",1
"580","Znf354c","Abcb1a",1
"581","Wt1","Abcb1a",1
"582","Usf1","Pdx1",1
"583","Egr1","Egf",1
"584","Egr1","Tkt",1
"585","Elf1","Fcgrt",-1
"586","Gata1","Fcgrt",1
"587","Hmga1","Ly6e",1
"588","Pou2f1","Ly6e",1
"589","Pou2f2","Ly6e",1
"590","Gata1","Epb42",1
"591","Phox2b","Phox2b",1
"592","Phox2b","Dbh",1
"593","Phox2b","Fos",1
"594","Pou1f1","Prdx6",1
"595","Sp1","Prdx6",1
"596","Creb1","Myb",1
"597","Srebf2","Kpnb1",1
"598","Ahr","Cdkn1b",1
"599","Egr1","Egr1",-1
"600","Elf1","9530003J23Rik",1
"601","Elf1","Lyz2",1
"602","Elf1","Lyz1",1
"603","Elf4","9530003J23Rik",1
"604","Elf4","Lyz2",1
"605","Elf4","Lyz1",1
"606","Tp53","Gabra6",1
"607","Tp53","Tubb3",1
"608","Dlx4","Gata1",1
"609","Nr0b1","Star",-1
"610","Ar","Star",1
"611","Hnf1a","Cyp7a1",1
"612","Nr1h3","Cyp7a1",1
"613","Nr2f2","Cyp7a1",1
"614","Irf1","Tnf",1
"615","Stat5a","Hsd3b1",1
"616","Max","Stat5a",1
"617","Wt1","Wt1",-1
"618","Wt1","Bcl2",1
"619","Fos","Clu",-1
"620","Fosl1","Clu",1
"621","Junb","Clu",1
"622","Creb1","Th",1
"623","Jun","Sftpb",-1
"624","Pax6","Unc5c",1
"625","Ascl1","Ehd1",1
"626","Mtf2","Ace2",1
"627","Crem","Ins2",1
"628","Crem","Taf4",1
"629","Tbp","Ins2",1
"630","Pparg","Srebf1",1
"631","Srebf1","Pparg",1
"632","Pparg","Srebf2",-1
"633","Srebf2","Pparg",1
"634","Esr1","Ckb",1
"635","Esr2","Oxt",1
"636","Pax3","Pax3",1
"637","Pax3","Pdgfra",-1
"638","Cebpg","Hpn",1
"639","Sp1","Hpn",1
"640","Tfap2a","Hpn",1
"641","Sp1","Abcb1a",1
"642","Ybx1","Abcb1a",1
"643","Jun","Spi1",1
"644","Spi1","Jun",1
"645","Usf1","Spp1",1
"646","Hif1a","Vegfa",1
"647","Smad4","Cdkn1a",1
"648","Pdx1","S100g",1
"649","Vdr","S100g",1
"650","Dnmt1","Cftr",1
"651","Klf5","Myh10",1
"652","Klf5","Gzma",1
"653","Esr1","C3",1
"654","Nr3c1","Csn2",1
"655","Pgr","Csn2",-1
"656","Egr1","Tnf",1
"657","Tbp","Snap25",1
"658","Irf1","Il18",1
"659","Stat5a","Il4",1
"660","Stat5b","Il4",1
"661","Sp1","Fn1",1
"662","Dlx4","Theg",1
"663","Zbtb12","Theg",1
"664","Dlx4","Fn1",1
"665","Fos","Fn1",1
"666","Jun","Fn1",1
"667","Myc","Fn1",-1
"668","Zbtb12","Fn1",1
"669","Pparg","Fabp4",1
"670","Pdx1","Prkcg",1
"671","Pdx1","Psma5",1
"672","Stat5a","Bcl2l1",1
"673","Sp1","Lep",1
"674","Stat5a","Osm",1
"675","Egr1","Mmp14",1
"676","Esr1","Spp1",1
"677","Esr2","Spp1",1
"678","Myrf","Col5a2",1
"679","Pparg","Cd36",1
"680","Pou2f2","Tgfa",1
"681","Pdx1","Gfap",1
"682","Stat5a","Ptgs2",1
"683","Ssrp1","Hes1",1
"684","Ssrp1","Hes5",1
"685","Ssrp1","Notch3",1
"686","Cebpb","Il6",-1
"687","Pax5","Cd79a",1
"688","Pax5","Rag2",1
"689","Pax5","Ebf1",1
"690","Ebf1","Pax5",1
"691","Tp53","Crebbp",1
"692","Crebbp","Tp53",1
"693","Ets1","Parp1",1
"694","Tp53","Ache",1
"695","Tp53","Aqp1",1
"696","Tp73","Aqp1",1
"697","Tp73","Crebbp",1
"698","Tp73","Gadd45a",1
"699","Pou2f1","H2-Ea",-1
"700","Pou2f1","P04224",-1
"701","Ets1","Mgat5",1
"702","Jun","Mgat5",1
"703","Nfya","Cdk1",-1
"704","Cebpg","Cd14",1
"705","Cebpb","Prg2",1
"706","Gata1","Prg2",1
"707","Gata1","Mbp",1
"708","Zfpm1","Mbp",1
"709","Cebpg","Mbp",1
"710","Cebpb","Mbp",1
"711","Pdx1","Gcg",1
"712","Pdx1","Pik3c3",1
"713","Cebpb","Hsp90aa1",1
"714","Stat3","Hsp90aa1",1
"715","Hsf1","Hsp90aa1",1
"716","Hsf1","Hspa4",1
"717","Stat3","Hspa4",1
"718","Apex1","Apex1",1
"719","Cebpb","Hp",1
"720","Cebpb","Mapk1",1
"721","Stat3","Hp",1
"722","Tead2","Tp53",1
"723","Hif1a","Tfrc",1
"724","Myc","Hspa4",1
"725","Sp1","Psen1",1
"726","Nr0b1","Nr0b1",1
"727","Nr5a1","Nr0b1",1
"728","Nr0b1","Nr5a1",-1
"729","Esr1","Tnfrsf11a",1
"730","Sp1","Slc25a5",1
"731","Sp1","Tnfrsf11a",1
"732","Esr1","E2f1",1
"733","Sp1","E2f1",1
"734","Sp3","Cyp11a1",1
"735","Tfap2a","Cyp11a1",1
"736","Sp1","Spi1",1
"737","Spi1","Sp1",1
"738","Sp3","Spi1",1
"739","Spi1","Sp3",1
"740","Spi1","Cyp11a1",1
"741","Stat3","Hsp90ab1",1
"742","Znf281","Odc1",1
"743","Znf148","Odc1",1
"744","Znf148","Gast",1
"745","Tp53","Kras",1
"746","Tfam","Slc25a5",1
"747","Sp1","Plat",1
"748","Sp3","Plat",1
"749","Spi1","Csf2rb2",1
"750","Spi1","Csf2rb",1
"751","Irf4","Il1b",1
"752","Irf8","Il1b",1
"753","Spi1","Il1b",1
"754","Irf2","Ifng",1
"755","Sp1","Nfkbia",1
"756","Ar","Dnm1l",1
"757","Ar","Src",1
"758","Ncoa1","Msh6",1
"759","Ncoa1","Psmd4",1
"760","Ncoa2","Dnm1l",1
"761","Ncoa2","Msh6",1
"762","Ncoa2","Psmd4",1
"763","Ncoa2","Src",1
"764","Sp1","Reck",1
"765","Runx1","Blk",1
"766","Pax5","Blk",1
"767","Srebf2","Ldlr",1
"768","Foxa1","Afp",1
"769","Nr4a2","Th",1
"770","Spi1","Th",1
"771","Sp1","Mbp",1
"772","Nr0b2","Syk",1
"773","Nr0b2","Il2",1
"774","Pgr","Igfbp1",1
"775","Nr5a1","Cyp11a1",1
"776","Hnf1a","Ugt1a1",1
"777","Mga","Mga",1
"778","Nfkb1","Ccnd1",1
"779","Rela","Ccnd1",1
"780","Cebpd","Il1b",1
"781","Cebpb","Il1b",1
"782","Esr2","Fshb",1
"783","Tp53","Bag1",-1
"784","Rela","Plau",1
"785","Myc","Myc",-1
"786","Rel","Ccl12",1
"787","Rela","Ccl12",1
"788","Tp53","Mdm4",1
"789","Tp73","Mdm4",1
"790","Wt1","Mycn",-1
"791","Ahr","Ctsd",1
"792","Arnt","Ctsd",1
"793","Stat5a","Stat5a",1
"794","Creb1","Jun",-1
"795","Cebpg","Pck1",1
"796","Ddit3","Hspa4",1
"797","Fos","Hspa5",1
"798","Pgr","Igfbp5",1
"799","Cebpg","Star",1
"800","Ppara","Edn1",-1
"801","Atf2","Ep300",1
"802","Gata4","Ankrd1",1
"803","Nkx2-5","Ankrd1",1
"804","Nfatc2","Xcl1",1
"805","Lhx3","Esr1",1
"806","Nr5a1","Scarb1",1
"807","Nfic","Ar",1
"808","Tp53","Il2",-1
"809","Fos","Ccnd2",1
"810","Pax3","Tyrp1",1
"811","Pax3","Fn1",1
"812","Pax3","Mitf",1
"813","Mitf","Pax3",1
"814","Ctcf","9530003J23Rik",1
"815","Ctcf","Lyz2",1
"816","Ctcf","Lyz1",1
"817","Rela","Tnf",1
"818","Nfkb1","Tnf",1
"819","Stat5a","Il7r",1
"820","Wt1","Areg",1
"821","Dbp","Cyp2a4",1
"822","Nfic","Cyp1a1",-1
"823","Bcl6","Il4",1
"824","Bcl6","Stat6",1
"825","Stat6","Bcl6",1
"826","Rb1","E2f1",-1
"827","E2f1","Rb1",1
"828","Sp1","Lhcgr",1
"829","Sp3","Lhcgr",1
"830","Hnf1b","Ins2",1
"831","Hnf4a","Ins2",1
"832","Rest","Gria2",-1
"833","Hoxd3","Plau",1
"834","Sp1","Pdlim7",1
"835","Sp3","Pdlim7",1
"836","Irf9","Ifnl2",1
"837","Irf9","Ifnl3",1
"838","Nr2f2","Pklr",-1
"839","Usf1","Pklr",1
"840","Junb","Il6",-1
"841","Stat3","Junb",1
"842","Sp1","Ccnd1",1
"843","Tfap2a","Mxi1",1
"844","Esr1","Tfap2a",1
"845","Tfap2a","Esr1",1
"846","Esr1","Tfap2c",1
"847","Tfap2c","Esr1",1
"848","Irf1","Slpi",-1
"849","Pax8","Tnf",1
"850","Pax8","Tg",1
"851","Nkx2-1","Tg",1
"852","Nkx2-1","Tnf",1
"853","Wt1","Igf1r",-1
"854","Pdx1","Pdx1",1
"855","Esr1","Ccnd1",1
"856","Pbx1","Preb",1
"857","Tcf3","Preb",1
"858","Pbx1","Wnt16",1
"859","Tcf3","Wnt16",1
"860","Myc","Ache",1
"861","Myc","Kat2b",1
"862","Sp1","Itgav",1
"863","Sp3","Itgav",1
"864","Nr0b1","Abcd2",1
"865","Nr0b1","Abcd3",1
"866","E2f1","Ccne1",1
"867","E2f1","Ccnd1",1
"868","Tp53","Yy1",1
"869","Yy1","Tp53",1
"870","Irf1","Ciita",1
"871","Ciita","Irf1",1
"872","Cdx2","Gcg",1
"873","Pou3f4","Gcg",1
